t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
600,0,2400,11400,10800,8400,5400,7800,7200,7200,14400,13800,13800,16200,23400,22200,19800,28800,37800,46800,55800,64800,73800,82800,91800,100800,109800,118800,127800,136800,145800,154800,163800,172800,181800,190800,199800,208800,217800,226800,235800,235200,233400,240000,237000,241200,250200,252600,256200,260400,268200,274200,276600,277800,279600,279000,279600,279600,287400,286200,283200,283200,285000,283200,287400,287400,289200,287400,284400,289200,291600,294600,291600,298800,299400,304200,311400,313800,316800,325800,324000,330600,331800,340200,345000,345000,342600,343800,348600,348000,351600,354000,356400,357000,363600,366600,372600,369600,369600,370800,369600,371400,372000,379200,378600,379800,383400,388800,393600,398400,397200,394800,397800,397800,396600,405000,403800,402000,400800,408000,412200,412800,411000,408000,411600,418800,424200,433200,442200,451200,460200,469200,478200,487200,496200,505200,514200,523200,532200,541200,550200,559200,568200,577200
6600,6000,3600,1200,5400,9000,10200,16800,14400,17400,15000,17400,15000,16800,20400,18000,21600,30600,39600,48600,57600,66600,75600,84600,93600,102600,111600,120600,129600,138600,147600,156600,165600,174600,183600,192600,201600,210600,219600,228600,235200,236400,235200,236400,238800,244200,244800,250200,256800,254400,256200,253800,260400,267000,264600,262200,261000,267000,275400,273000,270600,268200,273600,272400,270000,272400,273600,271800,270000,267600,276600,284400,282000,279600,276600,274200,271800,270600,268200,265800,263400,269400,267000,264600,270000,267600,265200,270600,279000,276600,274200,271800,269400,273000,270600,268200,276000,273600,275400,277800,280800,282000,280800,284400,288000,291000,288600,286200,283800,286200,283800,286200,294600,292200,297000,306000,303600,301200,304200,301800,300600,309600,307800,305400,306600,315600,324600,333600,342600,351600,360600,369600,378600,387600,396600,405600,414600,423600,432600,441600,450600,459600,468600,477600
0,0,0,0,0,0,0,0,0,0,0,1200,0,7200,4800,13800,22800,31800,40800,49800,58800,67800,76800,85800,94800,103800,112800,121800,130800,139800,148800,157800,166800,175800,184800,193800,202800,211800,220800,229800,232200,231000,231600,232200,232800,235200,237000,239400,241200,243000,240600,246600,244200,252000,249600,255000,252600,250200,251400,250800,253800,251400,256800,254400,259200,264000,261600,259200,256800,254400,251400,258000,255600,253200,250800,248400,253800,251400,249000,246600,243600,248400,246000,253200,251400,249000,246600,249600,256200,253800,251400,249000,246600,244200,241800,239400,237000,244800,242400,240000,246600,244200,244800,242400,239400,238200,241200,240600,241200,241800,250800,251400,249600,252000,252600,253200,253800,255600,257400,258000,258600,259200,261000,258600,267600,276600,285600,294600,303600,312600,321600,330600,339600,348600,357600,366600,375600,384600,393600,402600,411600,420600,429600,438600
0,0,0,0,0,0,0,0,0,0,3000,600,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,232800,231600,230400,229200,232200,231000,236400,237000,234600,242400,243000,243600,252600,253200,253800,254400,255000,255600,256200,256800,257400,258000,261000,261600,262200,262800,263400,264000,264600,265200,265800,265800,268800,269400,270000,271800,272400,273000,273600,274200,274800,275400,276000,276600,277200,277800,278400,279000,279600,280200,283200,283800,284400,285000,285600,286200,290400,291000,291600,292200,292800,293400,294000,294600,294000,294600,295200,292200,292800,299400,300000,300600,301200,301800,301200,309000,309600,308400,307200,306000,304800,303600,302400,304800,303600,312600,321600,330600,339600,348600,357600,366600,375600,384600,393600,402600,411600,420600,429600,438600,447600,456600,465600,474600
1200,0,0,0,0,0,0,0,0,1200,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,231000,228000,230400,227400,224400,221400,218400,215400,215400,215400,215400,215400,215400,215400,215400,222000,225000,225000,225000,225000,225000,225000,225000,225000,233400,231600,228600,228600,228600,228600,228600,228600,232800,232800,232800,232800,232800,232800,231000,231000,229800,228600,227400,226200,228000,226800,229200,228000,226200,224400,228000,225000,223200,230400,236400,234600,232800,231000,228600,226200,223800,221400,219000,216600,214200,211800,209400,206400,203400,200400,197400,198000,195000,192000,189000,186000,183000,180000,177000,174000,171000,180000,189000,198000,207000,216000,225000,234000,243000,252000,261000,270000,279000,288000,297000,306000,315000,324000,333000,342000,351000,360000,369000,378000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,237000,234600,231600,228600,225600,222600,219600,217200,216600,213600,213000,212400,211800,211200,210600,210000,209400,217800,217200,216600,216000,215400,214800,214200,213600,213000,212400,211800,211200,213000,212400,211800,211200,210600,210000,209400,208800,214800,214200,213600,213000,212400,211800,211200,210600,210000,209400,208800,208200,207600,207000,206400,205800,205200,204600,204000,203400,202800,202200,203400,202800,202200,201600,203400,202800,202200,199800,196800,194400,191400,188400,185400,182400,181800,178800,186000,183000,180000,177000,174000,171000,168000,177000,186000,195000,204000,213000,222000,231000,240000,249000,258000,267000,276000,285000,294000,303000,312000,321000,330000,339000,348000,357000,366000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,231000,228000,225000,222000,219000,216000,213000,210000,209400,206400,205200,207600,206400,205200,204000,202800,201600,204000,206400,208800,211200,213600,216000,218400,220800,223200,225600,228000,230400,232800,235200,237600,240000,242400,244800,247200,249600,252000,254400,256800,255600,254400,253200,255600,258000,260400,262800,261600,260400,259200,258000,256800,255600,254400,253200,252000,250800,249600,248400,247200,246000,244800,243600,242400,241200,240000,237000,234000,231000,228000,225000,222600,220200,217800,215400,213000,210600,207600,204600,201600,198600,207600,216600,225600,234600,243600,252600,261600,270600,279600,288600,297600,306600,315600,324600,333600,342600,351600,360600,369600,378600,387600,396600,405600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,231000,228000,225000,222000,219000,216000,213000,210000,207000,204000,201000,198000,198600,195600,192600,189600,186600,183600,180600,177600,174600,171600,168600,165600,162600,159600,156600,163800,160800,157800,154800,151800,148800,145800,142800,139800,136800,133800,130800,127800,124800,121800,118800,115800,112800,109800,106800,105600,102600,99600,96600,93600,90600,87600,84600,81600,78600,75600,72600,69600,66600,63600,61200,58800,56400,54000,51600,49200,46800,44400,42000,39000,36000,33000,30000,27000,24000,21000,18000,15600,24600,33600,42600,51600,60600,69600,78600,87600,96600,105600,114600,123600,132600,141600,150600,159600,168600,177600,186600,195600,204600,213600,222600,231600
600,1200,1800,2400,0,600,0,600,0,600,1800,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,222000,219000,216000,213000,210000,209400,206400,203400,200400,197400,194400,191400,196800,202200,199200,204600,210000,215400,212400,210000,215400,213000,210600,208200,205800,203400,201000,198600,196200,193800,191400,194400,192000,189600,187200,184800,182400,180000,177000,174600,172200,169200,166800,163800,172200,169200,166200,163200,160200,157200,154200,151200,148200,145200,142800,139800,136800,133800,130800,130800,127800,124800,121800,118800,115800,112800,109800,113400,110400,107400,104400,101400,98400,96000,93600,91200,88800,86400,84000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,243000,252000,261000,270000,279000,288000,297000
600,1200,0,600,0,600,0,600,0,1800,0,600,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,222000,228000,225000,222000,219000,216000,213000,210000,207000,207600,208200,208800,209400,210000,210600,211200,211800,212400,213000,213600,214200,214800,215400,216000,216600,217200,217800,218400,219000,219600,220200,220800,221400,222000,222600,223200,223800,224400,225000,225600,226200,226800,227400,228000,228600,229200,229800,230400,227400,228000,228600,229200,229800,230400,231000,229800,230400,231000,231600,232200,232800,229800,230400,227400,224400,221400,218400,215400,212400,209400,207000,204000,201000,198000,195000,192000,189000,186000,183000,180000,177000,174000,183000,192000,201000,210000,219000,228000,237000,246000,255000,264000,273000,282000,291000,300000,309000,318000,327000,336000,345000,354000,363000,372000,381000
