t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
6600,15600,24000,22200,25200,31800,36600,33600,31200,40200,48600,52200,60600,64800,61800,64200,63000,65400,72000,76800,85800,83400,88800,91800,99600,105000,102600,103800,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,208800,209400,216600,213600,213600,211800,214800,219000,228000,229200,231000,229200,229800,227400,229800,231600,240000,237000,241200,238800,237600,243000,247200,250800,256200,255600,259200,264600,269400,271800,278400,277200,274200,277800,283800,289200,291000,296400,301800,303000,307800,311400,310200,309600,312000,313800,316800,317400,320400,328200,334800,340200,343800,351000,356400,365400,373800,381600,384600,382800,381000,385200,388800,389400,388800,397800,405600,408600,406800,404400,402600,403800,411600,413400,416400,423000,421200,424800,430800,430800,435600,433800,430800,430200,436800,439200,441000,441600,442200,449400,456600,453600,458400,456600,456000,458400,457200,463800,463800,468000,472200,469200,466800,468600
0,7200,7200,4200,4200,6600,13200,16200,13200,13800,10800,7800,15600,21000,25800,22800,19800,22800,30600,28200,31200,38400,37800,39600,46800,49800,58800,67800,76800,85800,94800,103800,112800,121800,130800,139800,148800,157800,166800,175800,175800,175800,183000,190800,190800,195600,195600,198000,205200,203400,200400,203400,204000,202200,210000,210000,214800,219000,217200,221400,228000,226200,224400,222600,220800,217800,220200,228000,232800,229800,228000,226200,226200,231600,236400,234600,243600,241800,240000,238200,236400,240000,238200,242400,240600,238800,246600,244800,247800,244800,243000,251400,249600,250800,248400,249000,247200,245400,243600,240600,238800,237000,243000,241200,241800,239400,248400,256200,254400,252600,252600,259800,259800,259800,263400,272400,271800,271800,271800,271800,271800,271800,271800,271800,271800,271800,273600,270600,274800,282600,288600,294000,293400,291600,291600,288600,285600,285600,282600,289200,289200,298200,307200,316200
0,0,4200,1200,0,0,0,6600,3600,600,600,0,0,0,0,8400,5400,10800,7800,4800,10800,16200,13200,22200,31200,40200,49200,58200,67200,76200,85200,94200,103200,112200,121200,130200,139200,148200,157200,166200,171600,180600,180000,179400,184200,192600,190200,187800,195000,200400,198000,199200,196200,197400,198600,199800,201000,202200,199200,200400,201600,199800,201600,205200,202200,204600,201600,198600,202200,199200,208200,205200,202200,201000,198000,195000,192000,189000,187800,184800,181800,178800,177600,179400,176400,173400,175800,175800,172800,177000,174000,171000,180000,177000,174000,171000,172200,178200,179400,180600,177600,174600,177600,178800,180000,187200,190200,198000,195600,193200,190800,189000,196200,193800,191400,189000,186600,185400,191400,196200,193800,196200,193800,191400,189000,186600,184200,181800,179400,177000,177000,174600,178200,184200,183600,189000,188400,187800,191400,190800,199800,208800,217800,226800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,7200,4200,1200,0,7800,5400,3000,12000,21000,30000,39000,48000,57000,66000,75000,84000,93000,102000,111000,120000,129000,138000,147000,156000,165000,163200,170400,168600,166800,167400,165600,173400,175800,175800,172800,180600,179400,183000,181800,179400,177000,174600,172200,169800,166800,163800,160800,163800,166800,174000,177000,180000,183000,188400,187200,187200,190200,193200,196200,199200,202200,205200,208200,211800,214800,217800,220800,222600,225600,228600,231600,234600,243000,246000,243600,246600,249600,252600,255600,258600,261600,264600,273600,276600,279600,285600,287400,284400,281400,281400,278400,285600,282600,279600,281400,278400,275400,272400,269400,270600,267600,264600,261600,258600,264000,261000,258000,255000,252000,249000,246000,243000,240000,237000,234000,231000,229200,233400,231600,235200,233400,235800,244200,251400,259800,268800,277800,286800,295800
0,0,0,0,0,0,0,0,0,0,0,7800,16200,15000,13800,12600,9600,12000,9000,7800,7200,4200,1200,10200,19200,28200,37200,46200,55200,64200,73200,82200,91200,100200,109200,118200,127200,136200,145200,154200,151200,148200,145200,147000,144000,141000,146400,145800,144600,143400,142200,141000,145800,144600,143400,142200,141000,139800,138600,137400,136200,135000,142200,141000,140400,139800,147600,147000,146400,145800,154200,153600,153000,152400,151800,151200,150600,152400,159600,159000,158400,157800,163200,160200,159600,159000,158400,157800,157200,159600,159000,158400,166800,168600,168000,167400,166800,166200,165600,165000,164400,163800,163200,162600,162000,161400,160800,160200,159600,157200,154800,152400,150000,147600,145200,142200,139200,136200,145200,142200,139200,136200,135000,132000,129000,126000,123000,120000,117000,119400,116400,113400,110400,107400,105000,102000,111000,120000,129000,138000,147000,156000,165000,174000
0,0,0,5400,9000,7200,5400,3600,1800,0,600,0,600,0,600,0,600,0,600,0,600,4200,1200,10200,19200,28200,37200,46200,55200,64200,73200,82200,91200,100200,109200,118200,127200,136200,145200,154200,151200,148200,145200,142200,139200,136200,133800,130800,133800,136800,139800,142800,145800,153000,156000,159000,162000,165000,168000,171000,175800,178800,181800,184800,184800,184800,184800,184800,184800,184800,184800,184800,184800,184800,184800,184800,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,181200,179400,176400,173400,170400,167400,164400,161400,158400,155400,152400,149400,146400,143400,140400,137400,134400,131400,128400,125400,123600,120600,129000,126000,123000,120000,117000,126000,135000,144000,153000,162000,171000,180000,189000
0,0,0,0,0,600,600,600,1200,1800,1800,2400,3000,3600,4200,4800,5400,6000,3000,6000,3000,0,600,9600,18600,27600,36600,45600,54600,63600,72600,81600,90600,99600,108600,117600,126600,135600,144600,153600,151800,150000,147000,144000,141000,138000,135000,132000,129000,126000,123000,120000,117000,115800,114600,113400,112200,111000,109800,108600,107400,106200,105000,103800,103200,102600,102000,101400,100800,100200,99600,99000,98400,97800,97200,96600,94800,94200,93600,93000,92400,91800,91200,90600,93000,92400,91800,91200,90600,90000,89400,88800,88200,87600,96600,96000,101400,100800,97800,97200,96600,98400,97800,97200,96600,96000,96000,95400,94800,94200,91200,88200,85200,82200,79200,78600,78000,77400,76800,76200,75600,72600,69600,66600,63600,60600,57600,54600,51600,48600,45600,42600,39600,36600,33600,30600,39600,48600,57600,66600,75600,84600,93600,102600
600,0,600,0,7800,6000,4200,2400,600,1200,1800,2400,0,600,1200,1800,2400,3000,3600,4200,4800,1800,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,151200,149400,146400,143400,140400,137400,134400,131400,128400,126600,124800,123000,124200,122400,120600,118800,117000,119400,117600,115800,114000,112200,110400,108600,106800,105000,103200,101400,99600,97800,96000,94200,92400,90600,88800,97800,96000,94200,92400,90600,88800,87000,85200,83400,81600,79800,78000,76200,74400,72600,70800,69000,67200,65400,63600,61800,60000,58200,56400,54600,52800,51000,49200,46200,43200,40200,37200,37800,38400,39000,39600,40200,37200,37800,38400,39000,39600,40200,37200,37800,38400,39000,39600,36600,37200,34200,31200,28200,27600,24600,21600,18600,15600,12600,9600,6600,15600,24600,33600,42600,51600,60600,69600,78600
600,4800,5400,6000,6600,7200,7800,8400,9000,9600,9600,10200,10200,10800,10800,11400,11400,11400,11400,11400,11400,8400,5400,6000,15000,24000,33000,42000,51000,60000,69000,78000,87000,96000,105000,114000,123000,132000,141000,150000,147000,144000,141000,138000,135000,132000,129000,126000,123000,120000,117000,116400,113400,112800,109800,109200,106200,103200,100200,97200,94200,93600,90600,90000,87000,86400,83400,80400,77400,78000,78600,79200,79800,80400,79800,80400,79800,79200,79800,79200,79800,80400,77400,78000,78600,79200,79800,80400,77400,78000,78600,79200,79800,80400,77400,74400,75000,75600,76200,73200,70200,67200,64200,61200,58200,55200,52200,49200,46200,46800,47400,48000,45000,45600,42600,39600,40200,48000,45000,42000,39000,39600,40200,37200,37800,38400,39000,39600,37200,37800,34800,31800,28800,25800,22800,19800,28800,37800,46800,55800,64800,73800,82800,91800
600,1200,1800,2400,3000,3600,4200,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,19200,19800,20400,21000,30000,30600,30000,30600,39600,48600,57600,66600,75600,84600,93600,102600,111600,120600,129600,138600,147600,156600,165600,162600,159600,156600,153600,150600,147600,144600,141600,138600,135600,135600,135600,135600,135600,135600,135600,135600,135600,135600,133200,130800,137400,135000,132600,130200,127800,125400,123000,120600,118200,115800,113400,111000,108600,106200,103800,101400,99000,96600,94200,91800,89400,87000,84600,82200,79800,77400,75000,72600,70200,67800,65400,63000,60600,57600,54600,51600,48600,45600,42600,39600,40200,37200,37800,38400,39000,39600,40200,48600,45600,42600,39600,40200,37200,37800,38400,39000,39600,40200,37200,37800,38400,39000,39600,40200,37200,37800,38400,39000,39600,40200,37200,37800,38400,35400,32400,29400,38400,47400,56400,65400,74400,83400,92400
