t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
7200,12000,20400,29400,26400,33000,41400,48000,49800,48000,46800,43800,43200,45000,42600,46800,54000,51600,54600,55200,58800,57600,57600,62400,64200,71400,73800,71400,70200,75000,82800,82800,85200,88200,92400,90000,90000,88800,85800,85800,94800,95400,99000,108000,116400,124200,126000,128400,135600,139200,143400,143400,151200,151800,149400,158400,162600,168000,171000,169800,172800,175800,174000,171000,168000,177000,186000,184200,187200,189600,195600,198000,195000,196800,195600,196200,196800,198600,201000,204000,210600,213600,222600,231000,235200,238800,237000,240600,242400,248400,251400,255600,262200,268200,265800,265200,269400,267600,270000,267600,276600,285000,285600,289200,297600,299400,299400,304800,302400,310200,309600,317400,316800,320400,324000,330000,333000,332400,329400,333000,336000,333000,337200,337800,345000,342000,342600,346200,352200,361200,360000,361200,369000,376200,385200,386400,384000,385200,382200,388800,386400,384600,384000,385200
3600,3600,12000,9000,13800,13200,13200,11400,16200,21000,25800,30600,28200,25800,33000,30000,27600,25200,24600,30000,34800,40800,43200,46800,44400,42000,41400,39000,36000,33000,42000,46200,43800,41400,46800,44400,52800,52200,49800,47400,52800,53400,51000,60000,60000,67200,64800,63600,64200,63600,62400,65400,70200,79200,84600,89400,94200,101400,106200,111000,114000,122400,131400,137400,139200,139800,146400,151200,150600,149400,154200,159000,165600,171600,177600,185400,190200,198000,204000,208800,211200,216000,221400,226200,231000,238800,241800,246600,251400,256200,256800,261600,268200,273000,277800,282600,288600,286200,292200,289200,286200,292200,297000,303000,309000,315000,321000,327000,325800,331800,337800,346800,346800,346800,346800,346800,354000,351600,353400,356400,360000,367200,367200,367200,367200,375000,382800,382800,385200,382200,382200,383400,392400,394200,395400,395400,404400,404400,402600,403200,401400,401400,398400,400200
0,0,0,0,6600,3600,4800,12000,9000,9600,17400,14400,22200,19200,16200,13200,19800,16800,13800,18000,15000,12000,9000,6000,15000,13200,10200,7200,4200,1200,1800,2400,9000,9600,10200,10800,11400,12000,14400,15000,15600,16200,16800,17400,18000,18600,18600,19200,21600,19800,22200,30600,28800,27000,33000,41400,39600,41400,40800,43800,43200,42600,42000,41400,45600,45000,45600,45000,49200,52200,51600,51000,50400,54000,62400,62400,61800,61200,60600,60000,59400,58800,63600,63000,62400,66000,69600,73200,76800,80400,79200,76200,79800,78600,82200,81600,81000,80400,79800,83400,82800,82200,81600,85800,85200,83400,85800,83400,88800,95400,94800,94200,93600,93000,98400,97800,106200,105600,105000,104400,103800,111600,110400,109800,109200,108600,114000,121200,118200,117600,117000,116400,124200,123600,123000,126000,127200,124800,129000,130200,131400,129000,133200,134400
0,0,0,1200,0,0,0,0,0,0,0,0,0,0,9000,12600,15000,12000,9000,6000,3000,0,0,0,0,0,0,0,6600,4200,1800,0,0,0,0,0,0,0,6600,15600,24600,30000,27600,25200,33600,36000,33600,31200,30000,30600,29400,38400,37200,36000,34800,33600,32400,31200,36600,35400,34200,33000,31800,30600,39000,37800,36600,35400,36600,45600,44400,43200,42000,40800,49200,48600,47400,46200,45000,43800,41400,42000,39600,40800,38400,39600,40800,38400,39600,40800,49800,55200,52800,50400,59400,57000,54600,52200,49800,47400,45000,42600,40200,37800,39000,40200,37800,39000,40200,49200,46800,44400,42000,39600,37200,34800,32400,30000,27600,25200,22800,20400,18000,18600,19200,19800,20400,21000,21600,22200,22800,23400,24000,24600,25200,25800,28800,36000,44400,42000,42600,43800,48600,57600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,4800,1800,0,0,0,0,0,0,0,0,7800,6600,6000,4200,5400,3600,3000,2400,600,0,0,0,9000,18000,27000,30000,27000,30000,33000,36000,39000,39000,36000,39000,42000,40200,38400,41400,39600,42600,40800,39000,42000,43200,44400,45600,46800,48000,49200,50400,51600,52800,53400,54600,55800,56400,57600,58800,60000,61200,62400,63600,71400,72600,73800,75000,76200,77400,78600,85200,86400,87600,85800,87000,85200,86400,84600,85800,90600,91800,93000,94200,95400,96600,94800,96000,96000,104400,102600,103800,102000,100200,98400,96600,94800,93000,91200,89400,87600,87600,85800,84000,82200,80400,78600,81600,79800,82800,80400,78000,76200,74400,72600,70800,67800,64800,61800,61800,61800,60000,68400,66600,66600,66600,64800,64800,64800,64800
0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,9000,18000,27000,36000,45000,42000,39000,36600,33600,30600,27600,24600,21600,18600,16800,15000,13200,11400,8400,5400,9000,6000,3000,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,5400,2400,3000,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,8400,9000,9600,10200,10800,7800,4800,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,0,1200,2400,0,1200,2400,3600,9600,10800,12000,13200,14400,15600,16800,18000,19200,16800,25800,34800,36000,37200,38400,39600,40800,37800,35400,33000,34800,36600,34200,31800,29400,27000,24600,22200,23400,24600,25800,27000,28200,29400,30600,31800,33000,34200,35400,36600,33600,30600,27600,24600,21600,18600,15600,12600,9600,6600,3600,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,18000,19200,20400,21600,22800,22800,24000,25200,32400,33600,34800,36000,37200,38400,39600,36600,33600,30600,31800,28800,25800,22800,24000,21000,18000,15000,16200,13200,10200,7200,4200,1200
1200,0,1200,0,1200,600,0,1200,0,1200,0,1200,0,1200,4800,1800,0,1200,0,1200,0,0,1200,7200,6600,6000,5400,4800,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,1800,1200,600,0,1200,600,0,1200,600,0,1200,600,0,2400,1800,1200,600,0,2400,1800,1200,600,4200,3600,3000,2400,1800,1200,600,0,2400,1800,1200,600,0,0,2400,1800,1200,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,600,0,1200,600,0,1200,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,1200
1200,10200,9600,9000,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,1200,600,0,1200,600,1200,600,0,1200,600,1800,3000,4200,4200,5400,6600,7800,9000,10200,12000,13200,14400,15600,16800,18000,19200,20400,21600,21000,20400,19800,19200,18600,18000,17400,16800,16200,15600,15000,14400,13800,13200,12600,12000,15000,14400,13800,13200,12600,12000,11400,10800,10200,9600,9000,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,1200,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,2400,1800,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,8400
1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,1800,3000,2400,3600,3000,4200,3600,3000,4200,5400,6600,7800,9000,10200,11400,9000,6600,4200,1800,0,1200,3600,3000,2400,1800,1200,600,0,1200,600,1800,1200,2400,1800,3000,2400,3600,3000,4200,3600,3000,2400,1800,3600,3000,2400,1800,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,1200,600,0,1200,2400,1200,2400,1200,0,1200,0,1200
