t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
7200,15000,12000,15600,13800,13200,16800,20400,24000,25800,31800,34200,40800,42000,49800,57000,66000,69000,70800,69600,69600,75600,78000,82200,79800,79200,80400,84600,87000,84000,92400,89400,97800,99000,105600,109800,118800,116400,118800,118800,120000,126600,124800,124200,132000,133800,137400,140400,142800,140400,148800,147000,156000,162000,165000,172800,175200,181800,181800,186600,187200,187800,195000,202200,207000,214200,220800,226200,225000,226200,227400,225600,234000,234000,242400,249000,252000,254400,256200,254400,258600,267600,270600,275400,276600,280200,281400,278400,280800,279600,283800,282600,283200,282000,279600,277200,278400,280800,288000,290400,289200,291600,293400,298200,295200,295200,292200,295800,297600,299400,303000,308400,314400,313200,315000,317400,324000,328200,334800,340200,343800,349800,352800,360600,369600,378000,375000,374400,379800,378600,384600,387000,390000,396600,397800,394800,395400,400800,405600,404400,403200,409800,416400,425400
0,9000,7800,4800,7800,9000,13200,22200,21000,19200,23400,22200,19800,17400,15000,12600,16200,13200,10800,15000,21600,21000,25200,29400,32400,33000,42000,48600,52200,51000,49800,57600,55200,52800,50400,50400,48000,48600,55200,52800,50400,48000,45600,48000,48000,45600,44400,42000,46800,43800,49200,46200,45000,48000,50400,57600,54600,51600,52200,49200,46200,54000,51000,48000,47400,54000,53400,57600,64800,66600,67800,73200,70200,78000,81600,87600,86400,93600,94200,93600,96600,96600,95400,96000,97200,96000,94800,102000,105000,103800,102600,103200,102000,108600,115800,119400,116400,115200,112800,111600,114000,121200,129000,128400,133800,132600,131400,130200,129000,126600,125400,126600,126000,124800,129600,127800,125400,127200,126000,127800,126600,127200,126000,127800,126600,130200,130800,130800,138000,138600,138000,140400,141000,138600,137400,136200,135000,133200,132000,141000,149400,148800,148800,154200
0,4800,7800,4800,1800,0,4200,9600,6600,4200,1800,0,4200,7800,10200,10200,7800,7800,5400,9600,6600,3600,600,600,7800,5400,3600,600,0,7800,4800,10200,7800,11400,9000,9000,6600,4200,1800,0,0,0,0,0,0,0,0,4800,2400,1200,0,0,7200,4200,3000,600,0,0,0,0,600,0,4200,1200,0,0,9000,15000,13200,19200,17400,15000,12600,10200,18600,16800,15000,12600,10200,9000,7200,4800,3000,1200,0,3000,1200,1800,2400,0,0,3000,0,4800,2400,0,0,7200,5400,6000,7200,5400,3600,9000,7200,4800,12000,9000,13800,10800,7800,9600,7200,10800,8400,6000,14400,11400,8400,5400,7800,6600,5400,10200,12600,11400,10200,15000,12600,20400,19200,18000,19800,17400,16200,15000,13800,11400,10200,9000,6600,4200,5400,3000
1200,0,5400,2400,9600,15000,12000,9000,6000,3000,1800,0,7800,4800,1800,0,0,7200,7800,8400,5400,2400,0,0,0,0,0,0,0,0,0,0,0,4200,4800,5400,9600,6600,7200,7800,8400,9000,9600,10200,10800,11400,13800,14400,15000,24000,21000,18600,25200,22200,19200,24000,22800,21000,19800,25200,24000,22800,21600,20400,19200,18000,16800,18000,16800,22800,21600,20400,19200,18000,16800,15600,23400,22200,21000,25800,22800,21600,20400,19200,18000,16800,15600,14400,15000,13800,12600,11400,10200,9000,7800,6600,5400,4200,3000,1800,600,0,0,0,0,0,3600,1800,0,9000,7200,5400,3600,1800,0,0,6000,4200,2400,600,0,4800,9000,7200,5400,3600,6000,4200,6600,4800,3000,3600,3600,4200,4800,5400,3600,1800,2400,4200,2400,600,0,600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,8400,6000,8400,6000,5400,3000,600,0,1200,0,4800,2400,10200,7800,5400,3000,600,0,0,0,7200,4800,2400,0,0,1200,2400,0,0,0,0,0,0,0,0,6600,3600,600,0,0,0,1800,0,0,0,0,0,0,0,0,4200,6000,7800,9600,11400,13200,15000,16800,18600,20400,22200,24000,25800,30600,34800,37200,39000,40800,42600,44400,46200,48000,49800,51600,53400,55200,57000,54000,51000,48000,45000,42000,39000,36000,39000,40200,37200,34200,31200,28200,25200,22200,19200,16200,13200,10200,12000,9000,6000,3000,8400,12000,9000,6000,3000,0,1200,0,1200,0,1200,0,8400,5400,2400,0,1200,0,1200,0,1200,4200,1200,0,1200,0,1200,0
600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,9000,7800,6600,5400,4200,3000,1800,600,0,1200,9600,7800,6600,4800,3000,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,600,0,1200,600,0,1200,600,0,1200,1800,1200,600,0,1200,600,0,1200,600,0,2400,1800,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,1800,1200,1800,1200,1800,1200,600,0,1200,600,0,1200,0,1200,0,1200,0,0,1200,0,1200,0,1200,0,1200,1800,4800,3000,1800,600,0,1200,0,1200,0,1200,0,8400,7200,6000,4800,3600
1200,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,11400,8400,5400,2400,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,2400,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,18000,19200,20400,21600,22800,24000,25200,26400,27600,28800,30000,31200,32400,33600,34800,36000,37200,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,39000,40200,47400,44400,41400,38400,39600,40800,37800,39000,40200,37200,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,34800,31800,28800,25800,22800,19800,16800,13800,10800,7800,4800,1800,0,1200,0,1200,0,1200,0,1200,0,1200
600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1800,0,1200,0,1200,0,1200,0,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1800,0,1200,1800,2400,3000,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,2400,3600,3600,4800,4800,6000,6000,7200,7200,8400,8400,8400,8400,8400,8400,8400,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,8400,15600,15600,15600,15600,15600,15600,15600,15600,15600,15600,15600,15600,13200,10800
1200,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,24000,25200,26400,27600,28800,28200,27600,28800,28200,29400,28800,28200,27600,27000,34800,34200,33600,33000,32400,33600,33000,32400,31800,31200,30600,30000,29400,28800,28200,27600,27000,26400,25800,25200,22800,22200,19800,19200,16800,16800,14400,14400,15600,16800,18000,18000,19200,18000,16800,15600,14400,13200,12000,10800,9600,9000,7800,6600,5400,4200,3000,1800,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,0,1200,2400,0,600,0,600,4800,3000,600,0,600,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,1200,1200,0,1200,1200,0,1200,1200,0,1200
600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,5400,4800,1800,1200,0,600,0,600,9600,9000,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,13800,14400,15000,21000,21600,22200,19800,20400,18000,18600,16200,16800,17400,15000,12600,10200,7800,5400,3000,600,0,600,0,600,0,600,1200,0,600,0,600,600,0,600,0,600,0,600,0,600,0,600,0,600,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0
