t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
0,6000,7800,13200,17400,24600,27000,29400,30600,39600,37200,40800,37800,36600,35400,37200,37800,37200,44400,45600,48600,47400,55800,58800,60000,58800,59400,63600,70200,70800,79800,82800,90600,95400,97800,98400,97800,106800,115800,124800,127200,131400,140400,142200,141000,145800,144600,149400,156600,158400,155400,162000,164400,161400,165000,171000,172800,180600,181200,184800,186600,193200,193200,192600,192600,199200,203400,209400,215400,222000,219600,217800,216000,213000,216600,217800,215400,215400,218400,226200,228600,227400,235200,238800,238800,243600,244200,241800,244200,247800,256200,261600,270000,278400,282600,282000,291000,294600,292800,295200,292800,295200,303000,310800,309000,306000,315000,317400,318600,321600,328800,333600,331200,339000,340200,348600,356400,355800,355800,357600,358200,361200,361800,367200,371400,380400,379200,386400,395400,396600,399000,400200,402000,399600,401400,399000,399000,405600,403200,404400,411600,415200,420600,427200
7800,4800,12600,9600,6600,3600,2400,2400,0,0,0,4800,8400,6600,3600,600,6600,3600,12000,14400,11400,8400,6600,10200,16200,13800,10800,7800,11400,8400,9600,9000,18000,27000,36000,45000,54000,63000,72000,81000,81600,82200,83400,84000,84600,85200,82200,86400,84000,87000,86400,89400,93000,100800,97800,95400,93000,97800,105000,102600,100200,105600,103200,100800,98400,96000,99600,108600,106200,103800,105600,103200,100200,97800,95400,100200,102000,99600,101400,105600,103200,100800,101400,109200,111000,112800,120000,127800,124800,124200,121800,123600,131400,139200,141000,142200,143400,151200,148800,146400,149400,157200,154800,154200,151200,154800,152400,150000,147600,145200,147600,144600,151200,157200,165000,169800,167400,169800,169200,168000,165600,165600,163200,165000,163200,160800,163200,165600,163200,160800,168000,175800,174000,172200,173400,175800,173400,171000,172800,170400,174000,177000,174600,172200
0,0,2400,7200,4200,1200,0,0,0,0,1200,0,5400,2400,0,3600,600,0,0,0,7800,4800,1800,0,0,0,0,4800,9600,6600,14400,23400,32400,41400,50400,59400,68400,77400,86400,95400,104400,102000,99600,97200,94800,92400,90000,87000,87600,85200,82200,79200,76200,73200,70200,70200,67200,64200,61200,58200,55200,52200,49200,46800,44400,42000,39600,37200,34800,32400,38400,36000,33600,31200,28800,26400,24000,21600,19200,16800,14400,12000,9600,7200,15600,13200,10800,8400,14400,20400,18000,15600,13200,15000,22800,20400,18000,15600,13200,10800,14400,14400,21600,18600,16800,14400,15600,13200,18600,22800,19800,16800,14400,17400,14400,11400,8400,5400,13800,12600,9600,8400,17400,14400,11400,8400,5400,2400,0,0,0,0,0,0,2400,0,0,8400,5400,2400,8400,5400,2400,0
0,2400,0,0,0,0,0,3000,1200,9600,7800,6000,4200,2400,600,0,0,0,0,0,0,9000,7800,6000,3000,3000,1200,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,96000,93000,90000,87000,84000,81000,78000,75000,76200,73200,70200,67200,64200,72600,69600,66600,63600,60600,57600,57600,54600,51600,48600,48600,52800,52800,52800,49800,46800,46800,46800,46800,46800,46800,45000,45000,45000,43800,43800,43800,52200,52200,52200,52200,52200,52800,52800,52800,59400,60000,60000,63000,63000,63000,63000,63000,70200,70200,70200,67200,64200,61200,58200,55200,57600,54600,51600,48600,45600,44400,41400,38400,35400,32400,34200,31200,28200,25200,22200,21000,18000,15000,12000,9600,6600,7200,14400,11400,8400,12000,9000,6000,3000,4200,1200,7800,4800,12600,13800,10800,7800,4800,1800
0,1200,2400,8400,9600,7200,4800,2400,3600,1200,10200,7800,5400,3000,600,0,1800,3000,4200,1200,6000,3000,0,0,1200,7200,12000,9000,6000,3000,0,1200,10200,19200,28200,37200,46200,55200,64200,73200,82200,79200,76200,79800,86400,83400,92400,89400,86400,83400,80400,77400,74400,71400,68400,65400,66600,67800,69000,70200,71400,72600,81000,81600,82200,82800,83400,84000,85200,85800,87000,87600,88800,89400,90600,91200,92400,99600,100800,102000,103200,111000,117000,118200,115200,116400,115200,116400,113400,113400,110400,107400,104400,101400,98400,95400,92400,89400,86400,83400,80400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,79800,77400,75000,72600,70200,71400,69000,70200,67800,66000,63600,65400,66600,72000,69600,67200,64800,63600,60600,59400,67800,66600,65400,64200,61800,59400,57000,55800,54600,53400,52200,61200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,0,1200,600,0,1200,2400,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,96000,93000,90000,87000,84000,81000,78000,75000,72000,69000,66000,63000,60000,57000,54000,51000,48000,45000,42000,39000,36000,33000,30000,27000,24000,21000,19800,16800,13800,10800,7800,4800,1800,0,0,0,0,4200,1200,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,600,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,1200,600,0,1200,600,0,1200,0,1200,600,0,1200,0,1200,0,1200,0,1200,0
0,1800,1200,600,0,1200,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,2400,3600,4800,6000,7200,4200,13200,22200,31200,40200,49200,58200,67200,76200,85200,94200,91200,88200,85200,82200,79200,76200,73200,70200,67200,64200,61200,58200,55200,52200,49200,46200,52800,50400,47400,45000,42000,39600,39000,38400,37800,37200,36600,36000,35400,34800,34200,33600,33000,32400,31800,31200,30600,30000,29400,28800,36600,36000,35400,34800,34200,33600,30600,27600,24600,21600,18600,15600,12600,9600,6600,3600,600,0,1200,600,600,0,1200,600,600,1800,1800,1800,3000,3000,4200,4200,5400,5400,7200,7200,8400,8400,9600,9600,9600,9600,9600,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,6000,6000,3000,3000,0,1200,0,1200,0
0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,0,1200,0,1200,0,1200,2400,0,1200,0,1200,1800,3000,4200,7200,8400,17400,26400,35400,44400,53400,62400,71400,80400,89400,98400,95400,92400,89400,86400,83400,80400,77400,77400,76200,75000,73800,72600,71400,70200,69000,69600,68400,67200,66000,64800,63600,62400,61200,60000,58800,57600,56400,55200,54000,52800,51600,50400,49200,48000,46800,45600,46200,45000,43800,42600,41400,40200,39000,37800,37200,36000,34800,33600,32400,31200,30000,28800,27600,26400,25200,24600,23400,22200,21000,19800,18600,17400,16200,15000,13800,12600,11400,10200,9000,7800,6600,5400,4200,3000,1800,600,0,1200,0,1200,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,0
600,0,1200,600,0,1200,0,1200,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,2400,3000,4200,4800,6000,6600,15600,24600,33600,42600,51600,60600,69600,78600,87600,96600,93600,97800,94800,91800,88800,85800,82800,79800,76800,73800,70800,67800,70200,70200,67200,64200,64200,61200,61200,61200,61200,61200,61800,61800,61800,61800,61800,66600,66600,66600,69000,69000,71400,71400,73800,73800,76200,76200,76200,73200,70200,67200,64200,66600,66000,68400,65400,67800,64800,67200,64200,66600,63600,66000,63000,65400,62400,64800,61800,58800,55800,52800,49800,46800,43800,40800,37800,34800,31800,38400,35400,32400,29400,26400,30600,27600,24600,21600,18600,15600,12600,9600,6600,3600,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200
0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,9000,6000,3600,600,0,1200,0,1200,1800,2400,3000,3600,4200,5400,6000,6600,7200,8400,17400,26400,35400,44400,53400,62400,71400,80400,89400,98400,95400,92400,89400,86400,90000,90600,87600,86400,83400,85800,82800,79800,78600,75600,72600,69600,66600,63600,63600,64200,69600,66600,63600,60600,57600,55200,52200,49800,46800,43800,40800,45000,42000,39000,36000,33000,41400,38400,35400,32400,33600,30600,27600,24600,21600,18600,15600,12600,9600,6600,3600,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,4200,1800,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0
