t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
6600,13800,21600,21000,25800,24000,27600,36000,34800,39600,48000,48000,48600,49200,51000,49800,58800,56400,58800,62400,63000,60600,65400,73800,81600,85200,94200,98400,96000,94800,100800,102600,107400,109800,116400,115200,112200,120000,129000,138000,141000,147600,156000,162600,166200,164400,172200,171600,179400,185400,186000,190800,199800,206400,211800,208800,210000,216600,216600,222600,231000,235800,237000,238200,238800,243000,250800,255600,253800,261600,264000,266400,270600,274200,282600,279600,277200,277200,283800,292800,295200,301800,303600,312000,316800,321600,319800,328200,330000,331200,328200,334800,343200,343200,345000,342000,345600,346800,353400,357000,359400,367800,372600,381600,390000,398400,403200,400800,399000,398400,404400,406800,412200,416400,415800,416400,415800,415200,417000,418800,415800,412800,420600,426000,425400,424800,424200,429000,435600,432600,432000,432000,429000,437400,439200,442200,440400,438000,442200,446400,446400,453000,462000,463800
0,0,0,0,9000,6600,4200,1800,0,0,0,1800,0,4800,10800,9600,9000,6600,6000,9600,13200,15000,17400,19800,22200,23400,24000,32400,34800,31800,34200,39000,37800,46800,55800,64800,73800,82800,91800,100800,101400,102600,100200,103200,111000,108600,114000,121800,127800,134400,139200,145200,142800,140400,139200,143400,141000,138600,139800,137400,135000,142800,141000,142200,139800,137400,135000,134400,132000,129600,136800,134400,132000,141000,139800,137400,142800,146400,146400,148800,151200,148800,146400,144000,141600,142200,139800,144000,141600,139200,141000,139200,136800,140400,138000,145800,146400,147600,145200,147000,152400,155400,153000,150600,147600,151200,157800,164400,168600,173400,171000,173400,171000,168000,165600,163200,160800,163200,171600,171000,168600,168000,165600,169200,166800,172200,169800,167400,165000,162600,170400,169800,175200,172800,181800,179400,188400,190200,191400,189000,188400,186000,185400,192000
0,0,0,0,0,6600,6600,3600,600,0,4800,9600,15600,12600,9600,6600,3600,600,0,8400,6600,3600,10800,16800,19800,20400,24000,21000,18000,15000,19200,16200,25200,34200,43200,52200,61200,70200,79200,88200,97200,99000,96000,93000,90000,89400,86400,91200,88200,85200,83400,80400,78600,79200,85200,83400,81600,84600,85800,94800,100800,99000,97200,95400,93600,96000,100800,99000,102600,102600,109200,107400,105600,114000,112200,111000,109200,107400,105600,105600,103800,105600,104400,102600,103800,102000,100200,103200,108000,106200,104400,102600,100800,101400,99600,97800,104400,111600,112200,109200,107400,109200,108000,113400,117000,115800,114600,113400,114600,111600,112800,111600,110400,109200,118200,115200,115800,112800,109800,106800,103800,108000,105000,112200,112800,121200,118200,116400,113400,110400,107400,104400,109200,110400,112200,110400,108600,106800,111000,109200,107400,105600,103800,102000
600,0,7200,10200,7200,4200,1200,0,0,0,0,0,0,0,1800,0,0,0,0,2400,6600,7200,7800,5400,3000,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,96000,93000,90000,94800,93000,90000,90000,87000,84000,81000,78000,81000,80400,79800,79200,78600,78000,77400,82800,84600,81600,78600,75600,72600,69600,69000,76800,73800,70800,67800,64800,64200,63600,60600,58800,67200,66600,63600,71400,76200,73200,70200,67200,64200,61200,58200,55200,52200,51000,48000,45000,42000,39000,40200,47400,48600,45600,46800,48000,45000,42000,40800,37800,39600,40800,39600,40800,39600,44400,43200,42000,40800,39600,37800,39000,38400,36000,37200,38400,39600,40800,39600,40800,43800,50400,51000,51600,52200,52800,53400,54000,54600,51600,52200,52800,53400,54000,54600,55200,52200,49200,46200,43200
0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,2400,0,0,0,0,0,0,600,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,105000,102000,107400,104400,101400,98400,95400,92400,89400,86400,83400,80400,77400,74400,71400,68400,65400,62400,59400,56400,53400,50400,55200,52200,49200,46200,43200,40200,37200,34200,31200,28200,25200,22200,19200,16200,13200,13200,10200,7200,4200,1200,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,6600,7200,4200,1200,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,8400,5400,2400,6600,3600,600,0,4200,1200,0,600,0
1200,1200,9000,9000,9000,9000,9000,9000,9000,9000,9000,18000,18000,19200,19200,19200,20400,21600,22800,24000,25200,25800,26400,27000,27600,28200,28800,29400,30000,30600,31200,31800,32400,41400,50400,59400,68400,77400,86400,95400,104400,101400,98400,95400,92400,89400,86400,83400,81000,78600,78600,78600,78600,78600,78600,76800,76800,76800,76800,76800,76800,76800,76800,76800,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78600,79200,79800,80400,77400,83400,81000,78600,79200,79800,77400,75000,75600,72600,69600,73200,70200,67800,65400,67800,65400,63000,61800,59400,57000,54600,52800,50400,54000,51600,49200,46800,44400,42000,39600,40200,37800,38400,39000,39600,40200,45000,42000,39000,39600,40200,37200,37800,38400,40800,37800,38400,39000,39600,40200,37200,37800,38400,39000,39600,40200,37200,45600,42600
0,8400,8400,8400,8400,8400,8400,8400,8400,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13800,14400,15000,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,26400,35400,44400,53400,62400,71400,80400,89400,86400,83400,80400,77400,74400,71400,70800,73800,76800,79800,82800,85800,88800,91800,94800,97800,100800,103800,106800,109800,112800,115800,118800,121800,124800,127800,130800,133800,136800,139800,142800,145800,145200,148200,147600,150600,150000,147000,146400,145800,145200,144600,144000,141000,140400,139800,136800,136200,133200,132600,132000,131400,128400,127800,124800,124200,121200,118200,127200,124200,121200,118200,115200,112200,109200,106200,103200,100200,97200,94200,91200,88200,85200,82200,79200,76200,73200,70200,67800,64800,61800,58800,55800,52800,49800,46800,43800,46200,43200,40200,37200,35400,33600,31800,31200,29400,27600,25800,24000,22200,20400,18600,16800
600,1800,3000,4200,5400,6600,7800,7800,9000,10200,11400,13800,15000,16200,17400,18000,18600,19200,19800,20400,20400,20400,20400,17400,18000,18600,19200,19800,16800,13800,10800,11400,20400,29400,38400,47400,56400,65400,74400,83400,92400,89400,86400,83400,80400,77400,74400,79200,78600,78000,77400,74400,73800,70800,70200,67200,66600,63600,63000,62400,61800,61200,60600,60000,59400,58800,58200,57600,57000,56400,55800,55200,54600,54000,53400,52800,52200,51600,51000,50400,49800,49200,48600,48000,47400,46800,46200,45600,48600,48000,47400,46800,46200,45600,45000,44400,43800,43200,42600,42000,41400,40800,40200,39600,39000,38400,37800,37200,36600,38400,37800,37200,34200,31200,28200,25200,22800,20400,18000,15600,12600,9600,6600,3600,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,1200
600,0,0,600,0,600,4800,3000,1200,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,19800,28800,37800,46800,55800,64800,73800,82800,81600,80400,77400,74400,71400,68400,65400,62400,61800,59400,56400,53400,50400,47400,44400,41400,38400,39000,39600,40200,37200,37800,41400,38400,42000,39000,42600,39600,43200,40200,37200,37800,41400,38400,42000,39000,39600,43200,40200,37200,37800,41400,38400,42000,39000,42600,39600,43200,40200,42000,39000,39600,43200,40200,37200,34200,37800,38400,42000,39000,42600,39600,43200,40200,37200,34200,37800,34800,38400,36600,40200,39600,43200,42600,42000,39600,36600,33600,30600,27600,24600,21600,18600,15600,12600,9600,6600,3600,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0
600,600,600,600,600,600,600,600,600,600,600,600,2400,4200,6000,6000,6000,6000,6000,6000,3000,0,4200,1200,0,600,0,600,6600,3600,600,0,9000,18000,27000,36000,45000,54000,63000,72000,72600,74400,73200,70200,67200,64200,61200,58200,55200,52200,49200,46200,43200,40200,37200,39000,40800,37800,39600,41400,38400,40200,37200,39000,36000,37800,34800,36600,33600,35400,32400,34200,31200,33000,30000,31800,28800,30600,27600,29400,26400,28200,25200,27000,24000,21000,18000,15000,22200,19200,16200,13200,15000,16800,18600,20400,22200,24000,25800,27600,29400,31200,33000,34800,36600,38400,40200,39000,40800,39600,41400,38400,40200,37200,39000,40800,37800,34800,31800,28800,25800,22800,19800,16800,13800,10800,7800,4800,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0
