t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
2400,1800,1800,4800,5400,10200,7200,13800,16800,13800,13200,10800,19800,28800,37200,40200,43200,49800,48600,49200,58200,63000,61800,70800,69600,77400,81600,88800,87600,87600,87600,88800,88200,92400,94200,102600,101400,100800,108600,111000,118800,126600,130800,129000,133800,138600,143400,148200,150600,149400,147600,145800,145200,150000,158400,158400,165600,166800,169200,171600,180000,180000,177600,183000,187200,188400,191400,196800,202200,199800,200400,199800,202800,200400,203400,202200,202800,210000,218400,217200,222000,231000,239400,247200,245400,247200,255000,262200,261000,261000,268200,266400,274200,279000,276600,274200,280800,288000,295200,298800,301200,309600,318000,316800,315600,316200,318000,315600,321000,322200,325200,325800,332400,341400,342600,339600,348000,345600,346200,355200,355200,357000,354600,355200,352200,360600,361800,367200,369000,368400,376800,379200,376800,384000,390000,387000,393600,390600,394200,393600,393000,390000,391200,399000
0,0,0,8400,7200,5400,3600,7200,5400,3600,1800,4200,6000,4200,13200,11400,9600,12600,21000,18600,17400,14400,17400,26400,28800,27000,28800,25800,22800,30000,28200,26400,34200,32400,37800,38400,40200,37200,36000,33000,30000,27000,24000,24000,25200,22200,21000,22200,24000,32400,36600,41400,50400,57000,55800,54600,62400,66600,74400,82800,90600,88200,88800,94800,93000,91200,94800,95400,98400,97200,98400,97200,96000,101400,100200,99000,105600,105000,103200,102000,99600,102600,102000,100800,107400,106200,105000,103800,104400,103200,102000,103800,102600,101400,100200,97800,103200,104400,103200,109800,108600,114000,120600,122400,120000,122400,127200,124800,133200,138000,136800,134400,142800,144000,142800,148800,145800,144600,153600,152400,151200,157200,156000,154800,156600,158400,157200,162600,159600,162600,159600,166200,168600,177000,174000,171000,168000,175800,172800,169800,166800,163800,166200,169200
0,7200,4800,2400,10800,8400,16200,13800,11400,9000,9000,6000,3000,0,600,0,0,0,0,0,0,0,600,0,0,0,0,0,0,9000,6000,3000,7200,15600,12600,10200,10800,14400,12000,9600,12000,9600,18600,16200,13800,21600,30000,27600,25200,31200,28800,27600,34200,31800,38400,39600,37200,34800,43200,40800,38400,36000,40800,43800,41400,39000,36000,33600,37800,44400,42000,41400,47400,45000,42600,40200,37800,40800,47400,49800,47400,45000,42600,40200,37800,45600,43200,40800,38400,43800,41400,39000,46800,44400,52800,50400,48000,45600,43200,41400,44400,45000,46200,47400,45000,42600,42600,42600,49800,57000,54600,52200,54600,53400,51000,49200,46800,44400,42000,39600,37200,34800,36600,34200,31800,29400,33000,42000,39600,37200,34800,32400,30000,38400,46800,44400,50400,58800,56400,60600,65400,73800,71400,73200
0,0,5400,2400,10800,18600,15600,18000,15000,12000,18600,15600,19200,16200,22800,19800,19800,16800,13800,10800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,25200,25800,26400,27000,27600,33600,34200,31200,28200,25200,28200,25200,25800,30000,30600,31200,31800,32400,33000,33600,34200,34800,35400,34200,33000,37800,36600,41400,40200,39000,37800,36000,34200,40200,38400,43200,41400,39600,37800,36000,45000,43200,42600,40800,39000,37200,35400,33600,31800,30000,31200,29400,27600,25800,24000,23400,21600,19800,18000,16200,14400,17400,15600,13800,12000,14400,13800,12000,12600,13200,13800,14400,18000,18600,19200,17400,18000,18600,19200,28200,28800,29400,30000,30600,31200,31800,32400,33000,33600,34200,34800,35400,36000,39000,39600,40200,39000,39600,40200,39000,39600,40200,39000,39600,40200,39000,37200,41400,40200,40200,39000
600,1800,3000,2400,1800,3000,4200,3000,4200,3000,1800,600,0,1200,0,1200,0,7200,6000,4800,3600,2400,1200,0,1200,0,0,1200,0,1200,0,1200,7200,4200,1200,2400,3600,3600,4800,6000,7200,5400,3600,1800,0,1200,0,1200,0,1200,0,1200,0,1200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,600,0,0,0,0,0,0,0,7800,4800,1800,0,0,0,8400,5400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,4200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1200,1800,2400,3000,3600,4200,4800,5400,3600,1800,0,600,0,600,0,600,0,600,0,1200,0,1200,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,6000,3000,0,1200,0,0,1200,1800,1200,0,1200,0,1200,0,6600,5400,4200,3000,1800,1200,0,1200,8400,7800,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,0,0,4200,3600,3000,2400,1800,9000,8400,7800,7200,6600,6000,5400,4800,7200,6600,6000,5400,4800,5400,6000,6600,7200,4200,1200,0,1200,0,600,0,1200,0,1200,0,7800,11400,8400,5400,2400,0,1200,0,1200,0,1200,0,8400,5400,2400,0,1200,0,1200,0,1200,0,1200,4200,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200
0,0,0,0,0,0,0,0,0,0,0,0,0,4800,3000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,15000,13800,10800,9600,6600,4800,3000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,18000
6600,5400,4200,3000,1800,600,0,600,0,1200,0,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,7800,6600,3600,2400,0,1200,0,1200,0,1200,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,6600,5400,4200,3000,1800,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,3600,2400,1200,0,1200,0,1200,0,1200,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,2400,1200,2400,1200,0,1200,2400,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,3600,600
0,1200,0,1200,0,1200,600,600,600,600,600,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,7200,7200,7200,7200,7200,7200,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,8400,9000,9000,12000,12600,12000,11400,10800,10200,9600,9000,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,2400,1800,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,0,1200,0,1200,0,1200,1200,0,1200,0,1200,0,1200,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,1200,1200,0
0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,7200,4200,1800,0,1200,0,1200,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,0,1200,1200,1200,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0,1200,600,0,1200,600,0,1200,600,0,1200,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,0,1200,0,1200
