t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
8400,12600,13800,10800,16200,18600,16800,16800,25200,22800,29400,33000,33600,33600,33000,36000,40200,45600,53400,51600,48600,47400,51000,53400,60600,61200,63600,72600,73800,82800,82800,90600,99600,102000,99600,102000,108600,114000,121200,119400,127200,129600,135600,134400,134400,137400,142800,146400,154200,154800,152400,153000,156600,165600,163800,163800,163200,165600,165600,166200,172200,175200,179400,176400,174600,174600,175800,180000,182400,189600,186600,189000,190200,192000,191400,192600,198000,198600,198000,207000,204000,210000,216000,215400,220800,223800,223800,228600,226200,234600,232800,233400,239400,246600,250800,253200,258600,259800,264600,267600,270600,273600,272400,274800,273000,270600,267600,273000,278400,276600,277800,283200,280800,280200,286800,284400,290400,297600,303600,305400,312600,316200,325200,330600,335400,340200,346200,355200,356400,362400,369000,375000,382200,389400,394200,392400,393000,399000,403200,403800,412200,409800,412200,417600
1800,9600,6600,15000,17400,14400,15600,18600,24000,21600,19200,16800,25800,34800,38400,46800,43800,52800,56400,58800,55800,52800,51600,57600,54600,52200,59400,68400,65400,66000,74400,72000,77400,74400,73800,70800,74400,75600,82200,79200,78600,75600,73200,77400,78000,85200,84000,84600,82800,81600,80400,79200,77400,74400,71400,74400,81600,80400,77400,74400,77400,75000,82200,81000,78600,75600,72600,79800,83400,84600,85200,82200,90000,93600,101400,109200,106200,110400,115200,112200,109200,109200,106200,103200,100200,97200,94200,100800,98400,103800,100800,97800,106800,108600,106800,108600,109800,115200,114000,111000,108000,105000,102000,99000,105600,109200,106200,113400,110400,107400,112200,109200,107400,104400,109200,109200,113400,115800,112800,118200,115200,112200,121200,118200,117000,125400,122400,119400,116400,115200,112200,120600,129000,129600,138600,146400,153600,150600,156600,165600,168000,165000,162000,159000
0,3600,12600,10200,7800,4800,10200,7800,5400,3000,600,0,0,0,3600,1200,7200,4800,6600,12000,9600,7200,12600,10200,16200,22200,19800,17400,15000,12600,10200,7800,5400,3000,600,4800,10200,8400,5400,3600,1800,0,0,0,0,0,3000,3000,7800,14400,22800,21000,28200,34800,32400,30600,28800,27000,30600,28800,37200,35400,33000,30600,34800,32400,30000,28200,31800,37200,38400,36600,34800,33000,31200,29400,27600,32400,34800,33000,30600,28200,27600,25200,22800,20400,18000,15600,13200,10800,8400,6000,6600,4200,1800,0,0,5400,7800,6000,12000,10200,8400,10200,10800,19200,16200,13200,18000,15000,12000,9000,11400,8400,15600,19200,16200,13200,10200,7200,4200,1200,0,0,0,0,6600,3600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,600
0,3000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,4800,9600,7200,7800,13800,14400,15000,15600,15000,14400,13800,13200,12600,10800,9000,7200,5400,4800,9000,8400,14400,16800,18600,18000,17400,16800,15000,13200,11400,9600,7800,6000,4200,2400,600,5400,3600,7800,6000,4200,2400,8400,6600,9600,7800,6000,4200,2400,600,7800,6000,4200,2400,600,0,6000,12600,10800,9000,7200,4200,1200,10200,12000,9000,6000,3000,0,7200,4200,1200,0,9000,11400,8400,5400,2400,0,8400,5400,6600,3600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,1800,1800,4200,4200,3600,3000,2400,1800,1200,600,3600,3600,3000,3000,11400,11400,9000,8400,7800,7200,6600,6000,13800,13200,12600,10200
0,0,0,0,0,0,0,0,0,0,4800,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,9600,9000,8400,7800,7200,6600,6000,5400,4800,1800,0,600,0,0,600,0,600,0,0,600,0,1200,0,6000,3000,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,0,1200,0,1200,0,1200,9600,7200,4800,2400,6000,3000,0,1200,0,6000,3000,0,1200,0,7200,4200,1200,0,1200,0,1200,1800,2400,3000,3600,4200,4800,12600,12600,13200,13800,14400,11400,8400,5400,6000,3600,4200,4800,5400,6000,5400,6000,9000,9600,10200,10800,11400,12000,12600,13200,13800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,1800,1200,600,0,1800,1200,1800,1200,600,0,1800,1200,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4200,3600,3000,2400,5400,4800,4200,3600,3000,0,0,0,0,0,600,0,0,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3000,2400,1800
0,0,8400,6000,3600,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,16200,15600,15000,14400,13800,12600,12000,13200,22200,23400,24600,24000,23400,22800,22200,19200,16200,13200,16800,16200,15600,15000,14400,11400,10800,11400,10800,10200,9600,9000,8400,7200,13200,12600,12000,11400,10800,10200,9600,9000,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,19200,19800,20400,21000,21600,28800,29400,30000,30600,30000,29400,28800,28200,27600,27000,26400,25800,25200,24600,24000,23400,22800,22200,21600,21000,20400,19800,19200,18600,18000,17400,16800,16200,15600,15000,14400,13800,13200,12600,12000,11400,10800,10200,12000,11400,10800,10200,9600,9000,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0,600,0,600,0,600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,0,600,0,2400,0,600,0,600,0,600,9000,6600,4200,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,3600,1200,0,3600,9600,7200,16200,13800,11400,9000,6600,4200,1200,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,7200,4200,1200,0,0,0,600,0,600,0,600,0,600,0,600,0,1800,600,0,600,0,600,0,600,0,600,0
0,0,0,9000,6000,3600,600,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,3600,1200,0,600,0,600,0,600,0,5400,3000,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,4800,2400,0,1200,0,1200,0,6600,4200,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,0,0,600,0,0,600,0,0,8400,7800,7200,6600,7200,6600,7200,6600,7200,6600,6000,3600,4200,1800,2400,0,600,0,600
