t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
7200,5400,2400,8400,7800,12000,9000,6000,12600,11400,15000,24000,31200,30600,33000,42000,47400,52200,61200,70200,79200,88200,97200,106200,115200,124200,133200,142200,151200,160200,169200,178200,187200,196200,205200,214200,223200,232200,241200,250200,259200,258600,259200,258000,256800,265200,273600,281400,283200,292200,295800,297000,295200,297000,305400,310800,310200,308400,308400,313200,316200,319200,319800,319200,327600,333000,341400,349800,352800,355200,356400,358800,358200,357000,360000,368400,372600,375000,377400,384600,385200,393000,393000,390000,391800,393600,399600,407400,409800,415800,414000,413400,412200,420000,418200,426600,434400,431400,433800,433200,432000,438600,438600,439800,448200,456600,460800,463200,464400,463200,465600,471000,469200,472200,469200,474000,474000,473400,475200,474000,478200,484200,481800,490200,499200,503400,510600,516600,522000,519000,528000,537000,546000,555000,564000,573000,582000,591000,600000,609000,618000,627000,636000,645000
8400,10200,16200,23400,28200,29400,34200,32400,38400,43800,50400,58200,65400,70200,75000,79200,82800,87600,93000,95400,104400,113400,122400,131400,140400,149400,158400,167400,176400,185400,194400,203400,212400,221400,230400,239400,248400,257400,266400,275400,281400,286800,295800,295800,304200,308400,316800,316200,319200,322800,321000,330000,331800,334800,335400,341400,349800,355800,361800,367200,364200,364200,367200,372000,376800,375600,378000,382200,381600,389400,391800,400200,405000,408600,409800,409800,407400,412800,417000,418800,419400,421200,429600,435600,442200,448200,445200,442200,444600,443400,443400,443400,450600,447600,451200,453000,457200,463800,463800,462600,468600,471600,474000,480000,482400,487200,490800,489000,493200,499200,499200,506400,513600,510600,516000,519000,524400,530400,533400,534000,532800,541800,546000,544800,553800,553200,557400,565200,562800,564000,573000,582000,591000,600000,609000,618000,627000,636000,645000,654000,663000,672000,681000,690000
1200,2400,6000,3600,9600,9000,16800,22800,26400,25800,31800,31800,37800,43800,42000,44400,50400,57000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,243000,252000,260400,268200,277200,276000,273600,281400,282000,288000,297000,303000,308400,313800,313800,313800,321600,327600,333600,339600,345600,351600,359400,366000,363000,365400,370200,376200,382800,388800,396600,399000,405000,412200,418200,425400,429000,426000,429000,431400,437400,441600,447600,450600,456600,458400,467400,470400,469200,475200,480000,483600,491400,495600,501600,507000,506400,511200,516000,522000,520200,526200,524400,530400,533400,532800,540600,544800,547800,554400,556200,562200,566400,567000,573000,581400,586200,591600,597600,606000,604200,610200,611400,615000,621000,625800,633000,635400,639000,645000,646800,652800,654600,663000,667800,676800,685800,694800,703800,712800,721800,730800,739800,748800,757800,766800
7200,14400,19200,24000,30000,33600,41400,47400,48000,45000,48000,53400,57000,63000,69000,72000,73800,79800,84000,93000,102000,111000,120000,129000,138000,147000,156000,165000,174000,183000,192000,201000,210000,219000,228000,237000,246000,255000,264000,273000,282000,291000,297000,300600,306600,312600,318600,316200,322200,320400,321600,327600,333600,333000,335400,332400,336000,339000,345000,349800,356400,353400,359400,365400,363000,369000,366000,370800,376800,375000,372600,378600,382800,388800,394800,393600,398400,404400,409800,414600,416400,414000,422400,422400,425400,431400,437400,435000,441000,446400,451800,457800,462600,459600,457200,463200,469200,474000,480000,477000,484200,489000,493800,492600,498600,499800,505800,511200,514800,518400,520800,520200,527400,533400,540600,546600,552600,552600,558600,558600,564600,567600,575400,575400,583200,583200,586200,593400,593400,599400,601800,607800,616800,625800,634800,643800,652800,661800,670800,679800,688800,697800,706800,715800
8400,14400,20400,26400,35400,34200,37200,36600,41400,50400,56400,62400,66600,65400,69000,76800,81000,81600,85200,86400,95400,104400,113400,122400,131400,140400,149400,158400,167400,176400,185400,194400,203400,212400,221400,230400,239400,248400,257400,266400,275400,277200,284400,284400,286200,288000,291600,295200,301200,307200,313200,319200,322200,328200,334200,336000,340800,337800,343800,346200,352200,349800,350400,355800,361800,363600,363000,369000,376200,376800,382800,388800,390600,392400,400800,406800,407400,405600,411600,412200,418200,424200,430200,436200,435000,434400,442200,444000,445200,451200,448200,454200,458400,463800,469800,478800,479400,481800,483000,482400,488400,494400,499800,505800,511800,511800,510000,512400,518400,520200,526200,529200,535200,540600,546000,552000,558000,564000,569400,575400,575400,577200,574200,574200,576000,577800,582000,581400,579600,581400,583200,592200,601200,610200,619200,628200,637200,646200,655200,664200,673200,682200,691200,700200
0,0,0,5400,10800,10800,10800,19200,21600,19200,23400,27600,29400,33000,37200,41400,40200,42000,51000,60000,69000,78000,87000,96000,105000,114000,123000,132000,141000,150000,159000,168000,177000,186000,195000,204000,213000,222000,231000,240000,249000,251400,253800,256800,254400,251400,256200,253800,257400,260400,264000,273000,270600,274800,274200,276000,278400,280800,283200,280800,280200,282600,287400,286800,295200,295200,294600,302400,303600,303600,300600,307800,307800,307800,309000,318000,320400,318000,315000,317400,316200,316200,316200,316800,320400,320400,320400,323400,323400,321000,321000,325200,325200,325200,330000,328200,333000,340200,342000,346800,352800,357600,361200,366000,373200,378000,378600,384600,385200,390000,394800,394200,391800,391200,392400,397200,399000,400200,405000,413400,411000,411000,415800,420600,426000,424200,423600,428400,433200,438000,447000,456000,465000,474000,483000,492000,501000,510000,519000,528000,537000,546000,555000,564000
3600,4800,10200,10200,19200,27600,27600,27600,31200,31200,32400,34200,36000,45000,52800,55800,60600,69000,76800,84600,93600,102600,111600,120600,129600,138600,147600,156600,165600,174600,183600,192600,201600,210600,219600,228600,237600,246600,255600,264600,273600,276000,279600,288600,292200,292200,298200,299400,304200,310800,315600,323400,328200,327600,328200,327600,328800,328800,336600,335400,340200,337200,338400,343200,348000,354000,358800,367800,372600,373200,373800,378000,380400,387600,392400,389400,394200,399000,399600,404400,413400,420000,418200,418200,421200,419400,417600,422400,420600,423000,421200,419400,417000,415200,413400,415800,414000,412200,417600,415800,420000,417600,417600,422400,421200,426000,427200,432000,435000,439800,444600,453000,457200,460800,466800,465600,473400,477600,485400,487800,492600,500400,505800,513600,521400,529200,529800,527400,535200,543000,550800,559800,568800,577800,586800,595800,604800,613800,622800,631800,640800,649800,658800,667800
3600,2400,1200,0,9000,15000,13800,12600,16800,18000,16800,15000,13800,19200,18000,15000,24000,33000,42000,51000,60000,69000,78000,87000,96000,105000,114000,123000,132000,141000,150000,159000,168000,177000,186000,195000,204000,213000,222000,231000,240000,249000,258000,267000,276000,284400,283800,283200,289800,289200,297600,296400,295200,294000,292800,298800,297600,300600,298200,297000,300600,308400,313200,314400,313200,312000,318000,324600,321600,320400,319200,318000,316800,313800,312600,318600,317400,316200,315000,318000,316800,315600,314400,322800,321600,322200,319200,318000,316200,314400,313200,312000,310800,309600,308400,307200,306000,305400,312000,312600,317400,316200,320400,319200,318000,316800,315600,314400,319800,316800,319800,318600,317400,316200,325200,324000,322800,328800,334800,336600,342600,341400,340200,339000,339000,348000,357000,366000,375000,384000,393000,402000,411000,420000,429000,438000,447000,456000,465000,474000,483000,492000,501000,510000
0,0,0,0,6000,3600,9600,13800,19800,28200,31800,31800,39000,37200,42000,46800,51000,48000,57000,66000,75000,84000,93000,102000,111000,120000,129000,138000,147000,156000,165000,174000,183000,192000,201000,210000,219000,228000,237000,246000,252600,250800,257400,256200,262800,268800,267000,265200,263400,261600,259800,258000,262800,264000,262200,260400,268200,266400,264600,262800,261000,259200,257400,255600,253800,258000,256200,254400,252600,257400,261600,259800,258000,259200,256800,264600,262800,261000,269400,267600,265800,264600,267000,265200,263400,261600,269400,268800,267000,274800,273000,279000,277200,278400,276600,274800,273000,282000,285600,283800,282000,280200,278400,283200,285600,283800,282000,280200,278400,276000,274800,277800,283800,282000,280200,284400,286200,294000,292200,291000,289800,297600,304200,303000,305400,305400,314400,323400,332400,341400,350400,359400,368400,377400,386400,395400,404400,413400,422400,431400,440400,449400,458400,467400
0,0,0,9000,6600,4200,6000,3600,1200,4200,1800,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,189000,198000,207000,216000,225000,234000,231600,229200,236400,243600,241200,238800,241200,244800,242400,240000,237600,241200,239400,237000,234600,232800,238800,236400,234000,242400,240000,237600,235200,232800,230400,228000,234000,231600,229200,229200,226800,224400,221400,225600,223200,220800,218400,216000,213600,211200,210000,207600,214200,217800,226800,230400,228000,225600,222600,220200,217800,215400,219600,217200,214800,212400,216600,214200,211800,209400,207000,216000,214200,214200,211800,209400,207000,207600,204600,202200,199800,201000,198600,196200,193800,192000,198000,195600,199200,196800,194400,193800,202800,211800,220800,229800,238800,247800,256800,265800,274800,283800,292800,301800,310800,319800,328800,337800,346800,355800,364800,373800,382800
