t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
6600,6000,3000,6000,4200,1200,600,600,8400,10800,15000,22800,20400,28200,30600,39000,45600,45000,49800,48000,56400,64800,68400,65400,62400,60600,58800,64800,68400,73200,74400,71400,72600,75000,77400,80400,87000,84000,91200,97800,103800,111600,120600,123000,129000,133800,140400,142800,142800,145800,151200,155400,163200,168000,168000,166200,174000,178200,187200,196200,196800,202200,204600,211800,219600,219000,227400,231600,238800,243600,243000,245400,243600,251400,258600,265200,267600,270000,274800,274800,280200,282600,284400,291600,289800,295200,303600,312600,318600,324000,333000,333600,338400,339600,337200,343200,351000,360000,361800,361200,369600,371400,372000,369600,373200,379800,377400,380400,388200,396600,396000,405000,405600,408000,416400,421800,424800,430200,429600,438600,444000,447000,448200,457200,466200,474600,478800,481200,481800,485400,491400,488400,490800,489000,486600,491400,493800,499200,505200,508200,507000,511200,515400,522000
5400,2400,1200,10200,8400,5400,7800,9000,12600,12600,9600,11400,8400,9000,6000,5400,2400,2400,1200,0,1200,0,0,0,4800,7200,6600,6600,3600,12600,20400,22800,21000,25800,30600,38400,36000,43800,41400,46800,44400,51600,49200,50400,48000,45600,43200,40800,38400,46200,50400,48000,45600,43200,40800,38400,41400,45000,45600,51000,48600,46200,43800,41400,39000,36000,34200,31800,33000,34200,31200,34800,39600,45000,42600,40200,43200,42600,46800,54600,52200,49800,57600,55200,52800,50400,48000,46800,44400,49800,47400,49800,47400,49800,58800,55800,53400,55800,53400,51000,48600,46200,43800,42000,39600,37200,34800,41400,39000,39000,36600,34800,42600,40200,39600,40200,44400,42000,39600,43800,41400,39000,36600,34200,42000,39600,41400,39000,36600,45600,53400,62400,60000,58200,64800,62400,60000,64800,73200,70800,68400,66000,63600,61200
0,7200,7200,6600,3600,600,1800,4200,6000,3000,0,0,600,0,0,0,9000,6600,3600,600,0,0,0,3000,0,0,0,0,0,0,0,3000,0,0,6000,7200,13200,10200,13800,10800,7800,4800,1800,0,8400,5400,2400,10800,7800,4800,2400,8400,13200,20400,17400,14400,15000,12000,11400,9000,7800,12000,16800,13800,17400,16200,19200,18000,16800,15600,14400,11400,10200,11400,10200,9000,7800,4800,3600,2400,1200,2400,1200,9000,7800,6600,5400,7200,6000,4800,3600,11400,18600,25200,22800,29400,32400,29400,26400,25800,22800,19800,28800,25800,22800,19800,20400,25800,23400,22800,19800,22800,21600,19200,16200,13200,13800,10800,7800,4800,1800,0,0,3600,600,0,0,0,0,0,0,0,0,2400,0,0,0,0,7800,4800,6600,3600,600,0
0,6000,3000,0,0,0,4800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,1200,0,0,3000,1200,7800,6000,4200,6000,3600,10200,7800,5400,3000,600,0,1200,5400,3000,600,0,1200,7200,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,10800,19800,19200,16800,14400,14400,12000,12000,9600,7200,4800,2400,0,0,7200,5400,12000,9600,7200,4800,2400,4800,2400,3000,3000,600,0,0,0,0,1200,0,0,0,0,0,0,1800,0,1200,6600,4200,1800,0,1800,0,0,6600,4200,1800,0,1200,0,1200,0,1200,0,8400,6000,3600,1200,0,0,0,6600,6600,4200,1800,0,8400,6000,3600,1200,0,0,0,0,0,0,7200,15000,18600,16800,14400
6600,3600,600,0,0,0,0,0,0,0,0,0,0,0,9000,6000,3000,0,0,0,0,0,0,0,0,0,0,0,600,1200,1800,5400,6000,6600,7200,7800,13200,13800,14400,19200,19800,20400,21000,21600,22200,19200,19800,20400,21000,21600,22200,25200,23400,21600,19800,20400,18600,16800,15000,13200,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,19200,19800,20400,24000,24600,25200,25800,24000,22200,20400,18600,16800,15000,13200,11400,9600,7800,9000,7200,5400,3600,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0
0,0,0,0,0,0,0,0,0,0,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,10800,8400,6000,3600,1200,0,600,0,600,4200,1800,0,600,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,17400,18000,18600,19200,19800,20400,17400,18000,15000,15600,12600,13200,10200,10800,7800,8400,5400,6000,3000,3600,600,1200,0,8400,5400,6000,3000,3600,600,1200,0,600,0,600,0,0,0,600,0,0,0,0,0,0,0,0,0,0,9000,9600,10200,10800,11400,12000,12600,13200,13800,20400,21000,21600,22200,22800,23400,24000,24600,25200,25800
0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,4200,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600,600,3000,7200,9600,12000,14400,11400,8400,5400,2400,0,0,0,0,0,0,0,0,0,8400,5400,2400,0,0,4800,1800,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,12000,9600,7200,4800,2400,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,4200,1200,0,0,600,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,0,600,0,600,1200,1800,0,0,9000,6000,3600,4800,4200,1800,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,1800,0,600,0,600,0,600,0,600,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,3000,0,0,0,0,0,600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,6000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,600,0,0,0,0,0,0,0,0,600,4800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,4200,1200,0,0,0,4200,1200,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,0,600,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,4800,2400,0,600,0,600,0,600,0,600,0,600,0,600,1200,0,600,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
