t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
0,0,3000,3000,9600,15600,18000,22200,28200,36600,34200,43200,50400,53400,62400,61200,68400,76800,85200,87000,84600,91200,97200,101400,108000,109200,110400,115200,117600,126600,132600,133800,132000,137400,144600,152400,150000,153000,157800,159000,157800,156600,159600,162000,168600,175800,179400,186000,190200,194400,202200,201600,202800,204000,212400,219600,223200,230400,239400,242400,246600,248400,252600,260400,260400,269400,274800,277800,281400,283800,281400,280200,278400,287400,288000,293400,295800,295800,301200,306000,313800,311400,320400,320400,325200,333000,336600,342000,343800,347400,349800,347400,344400,346800,349200,351000,357000,364200,361200,364200,361800,360000,358200,364800,373200,378000,382800,391800,398400,401400,400200,406200,405000,403200,402000,409200,410400,415800,416400,423600,423000,426000,424200,429600,430200,438000,445200,448200,451800,450000,457200,456600,462000,460200,460800,466800,463800,472800,472800,470400,472800,471000,470400,477600
3600,600,1200,0,0,9000,12600,18000,15000,12000,9000,17400,14400,11400,8400,5400,2400,600,0,5400,2400,0,0,8400,5400,2400,0,0,0,5400,5400,2400,11400,20400,22800,19800,16800,13800,11400,12000,10800,17400,14400,11400,20400,21600,18600,16200,24600,24000,21000,18000,24600,21600,18600,23400,20400,19200,24000,26400,23400,20400,22800,25200,22200,19200,16200,21600,18600,16200,13200,13800,10800,17400,14400,11400,12000,9000,12000,11400,8400,5400,14400,21600,22800,22200,19200,23400,20400,24600,21600,24600,30600,34800,31800,34800,43800,40800,37800,44400,42000,39000,45600,42600,39600,43800,43800,40800,42000,49200,53400,57000,63600,60600,67200,66600,64800,61800,58800,55800,52800,55800,55800,52800,49800,52800,55800,58200,58800,65400,72600,75600,78600,75600,73800,76200,80400,78600,82200,80400,79800,82200,91200,89400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,4800,1800,10200,7200,4200,1200,4200,3600,6000,10200,9600,9000,8400,7800,7200,6600,6000,15000,24000,33000,32400,37800,37200,36600,39600,47400,51600,51000,50400,49800,49200,48600,48000,55200,54600,54000,53400,52800,52200,55200,54600,54000,62400,61800,61200,60600,66600,66000,72000,71400,70800,70200,69600,69000,68400,67800,67200,76200,76200,75600,75000,74400,73800,81600,85200,84000,82800,82800,81600,80400,79200,86400,85200,90600,89400,90600,87600,86400,86400,85200,84000,88200,93600,91800,90000,89400,93600,91800,90000,90600,99600,97200,94800,101400,99000,102600,100200,97800,95400,93000,90600,88200,85800,85800,85800,83400,81000,78600,76200,82800,89400,91800,93600,99600,104400,106200,103800,101400,99000,105600,113400,111000
2400,6600,9000,6000,3000,0,0,2400,0,0,0,9000,6600,14400,14400,11400,20400,24600,21600,27000,24000,21000,18000,15000,12000,9000,6000,3000,0,0,0,0,0,0,0,0,0,0,0,0,9000,10200,16800,14400,12000,9600,13800,11400,9000,6600,4200,1800,0,1200,0,1200,0,600,0,600,0,600,0,600,4200,6600,5400,4200,7800,6600,5400,2400,1200,0,0,600,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,1200,1800,0,0,0,0,0,2400,1200,0,600,0,0,0,0,0
0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,3000,0,0,0,0,0,0,0,6600,3600,600,0,0,0,0,0,0,9000,18000,27000,36000,44400,43200,42000,40800,39600,39000,38400,37800,37200,37200,36600,36000,35400,37200,39000,40800,45000,46800,48600,50400,52200,54000,55800,57600,57600,59400,61200,63000,63000,64800,66600,68400,70200,72000,73800,75600,77400,79200,81000,82800,84600,87600,89400,91200,97800,99600,106800,106800,105600,107400,109200,111000,112800,114600,116400,118200,117600,119400,121200,123000,124800,126600,128400,130200,132000,133800,135600,137400,139200,141000,142800,144600,146400,148200,150000,151800,153600,155400,157200,159000,160800,162600,164400,166200,168000,169800,171600,168600,165600,162600,159600,156600,153600,150600,147600,144600,141600,138600,135600,132600,135000,132000,129000
0,0,0,0,0,0,0,0,9000,6000,3000,0,0,0,0,0,3600,600,0,0,0,0,7800,4800,1800,0,0,0,0,0,3000,0,0,0,0,0,0,0,9000,18000,27000,36000,33000,30000,27000,24000,21000,18000,15000,21000,21600,30600,34200,37800,41400,39600,43200,43800,44400,45000,45600,46200,46200,46800,47400,48000,48600,49200,49800,50400,51000,51600,52200,52800,53400,54000,54600,55200,55800,56400,57000,57600,58200,58800,59400,64200,64800,63000,63600,64200,64800,65400,72600,73200,73800,74400,75000,75600,76200,76800,76200,75600,75000,74400,73800,73200,72600,77400,76800,76200,75600,76200,75600,81600,81000,84000,83400,86400,85800,84600,84000,83400,82800,82200,81600,81000,80400,79800,79200,78600,87600,87000,86400,85800,85200,84600,84000,83400,82800,82200,81600,88200,87600,87000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,3600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,43200,41400,39600,40200,38400,39000,39600,40200,37800,38400,39000,39600,40200,37800,38400,39000,36000,33000,30000,27000,24000,21000,18000,15000,12000,9000,6000,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,16200,16800,17400,18000,18600,19200,19800,18000,18600,19200,19800,17400,15000,15600,18600,21600,24600,27600,30600,33600,31800,30000,28200,26400,24600,22800,31200,28800,26400,24000,21600,19200,16800,14400,12000,9000,6000,3000,0,1200,0,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200
600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,34800,33600,32400,31200,30000,28800,27600,27600,27600,27600,24600,33000,30000,27000,24000,21000,18000,15000,12000,9000,6000,3000,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,4800,2400,0,1200,0,1200,0,1200,1800,0,1200,2400,3000,4200,4800,6000,6600,7800,8400,9600,10800,12000,13200,21000,21600,22800,23400,24600,25200,26400,27000,28200,28800,30000,30600,31800,32400,33600,34200,35400,36000,37200,37800,38400,39000,40200,37200,38400,45600,42600,39600,40800,37800,39000,39600,40800,37800,39000,36000
600,0,1200,0,1200,0,1200,0,1200,0,1200,0,600,0,600,0,600,0,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,600,0,1200,600,0,1200,10200,9600,9000,8400,5400,4800,4200,3600,3000,2400,1800,1200,600,0,1200,600,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,7800,6000,4200,2400,9600,7800,6000,4200,2400,600,0,1200,0,1200,0,1200,0,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0
2400,1800,1200,600,0,1800,1200,600,0,1800,1200,600,0,1800,1200,600,0,0,1800,1200,600,0,1800,1200,600,0,2400,1800,1200,600,0,1800,1200,600,0,1800,1200,600,0,2400,1800,1200,600,0,2400,1800,1200,600,0,2400,1800,1200,600,0,2400,1800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,2400,1800,1200,600,0,2400,1800,1200,600,3600,3000,2400,7200,6600,6000,5400,4800,4200,3600,3000,4800,4200,3600,12600,12000,11400,10800,10200,9600,9000,8400,7800,7200,6600,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,0,2400,1800,1200,600,0,2400,1800,1200,600,0,2400,1800,1200,600,0,4800,4200,3600,3000,2400,1800,1200,600,0,2400,1800,1200,600,0,2400
