t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
1800,0,4200,9000,10200,12600,15600,16200,15600,22800,21000,25200,33600,38400,40200,45000,44400,42000,51000,59400,64800,63000,62400,66600,70800,67800,76800,85800,94800,103800,112800,121800,130800,139800,148800,157800,166800,175800,184800,193800,202800,210000,208200,215400,214200,213000,221400,222000,224400,229800,232800,234600,242400,243000,240000,241200,248400,257400,258600,266400,264000,269400,275400,279000,276600,280800,285600,286800,288600,289800,287400,290400,294600,293400,300000,298200,301200,301800,306600,315000,317400,316800,324600,333000,340800,349800,350400,355800,354600,354600,363000,369000,377400,383400,386400,395400,400200,402600,407400,412800,418800,424800,427800,427200,432600,438000,435000,436800,441000,448800,450600,448200,445200,444000,442800,450600,459000,468000,472200,481200,486000,486600,492600,501000,502200,502200,501600,509400,512400,516600,525600,526200,527400,535200,538800,540000,548400,556800,561600,570600,567600,573000,579000,581400
6600,4800,10800,19800,18000,20400,28200,26400,29400,27600,25800,34800,35400,39600,37800,36000,37800,36000,42000,49800,55800,61800,67800,73800,79800,84600,89400,96600,105600,114600,123600,132600,141600,150600,159600,168600,177600,186600,195600,204600,213600,219000,222600,227400,235800,238200,235800,237600,235800,234000,231000,234000,232200,230400,228600,226800,228600,226800,234000,235200,233400,231600,229800,238200,239400,237600,244200,247800,246000,244200,242400,244200,248400,246600,250800,258600,256800,254400,252600,250800,247800,246000,244200,241800,240000,238200,236400,234600,233400,230400,228000,226200,224400,226200,224400,226800,228000,226200,233400,231600,230400,233400,230400,237600,234600,232800,237000,238200,244800,243000,242400,247200,245400,250800,249000,251400,252000,249000,249600,250200,258600,255600,254400,255000,255000,255000,252000,258600,259200,263400,264000,264600,268200,268200,276600,277800,285000,287400,288000,290400,295200,295800,292800,301800
0,0,0,0,0,2400,600,0,0,3600,1800,0,0,0,0,0,8400,9600,7800,15000,13200,19200,21000,25800,34800,43800,52800,61800,70800,79800,88800,97800,106800,115800,124800,133800,142800,151800,160800,169800,178800,176400,184800,182400,189000,187800,185400,190800,188400,186000,183600,181200,178200,175200,172200,169200,166200,174000,173400,172800,169800,166800,163800,160800,160800,158400,156000,153600,151200,148800,157800,155400,159600,160200,157800,157200,165600,163200,160800,158400,156000,153600,151200,152400,151800,151800,149400,148200,145800,143400,150000,151800,148800,146400,144000,141600,139200,136800,145800,147600,145200,144000,141600,149400,147000,144600,151200,148800,156000,153600,151200,148800,151800,154800,160200,163200,166200,169200,172200,175200,178200,181200,184200,182400,185400,192000,195000,198000,205200,205200,202800,200400,198000,195600,198600,201600,205200,213600,216600,219600,219600,222600,220800,223800
0,0,0,0,0,0,4200,2400,600,0,0,600,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,163200,163200,163800,164400,165000,174000,171600,180600,178200,175800,173400,180600,178200,175800,173400,171000,177600,175200,172800,170400,168000,168000,165600,163200,160200,157200,154200,151200,158400,155400,152400,149400,146400,143400,140400,137400,134400,131400,133800,130800,127800,130800,127800,124800,123600,123000,130200,127200,124200,121200,118200,115200,112200,110400,110400,108600,105600,103800,100800,97800,103800,100800,97800,95400,93000,90600,88200,91800,89400,96600,93600,90600,87600,84600,86400,83400,90000,87000,93600,90600,87600,84600,81600,79800,76800,73800,81600,79800,76800,73800,70800,67800,64800,61800,58800,55800,64800,73800,82800,91800,100800,109800,118800
3600,3000,1800,0,3000,1200,0,1200,0,0,3000,1200,0,0,6000,4200,3000,1200,0,0,3000,1200,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,156600,153600,150600,148200,145800,143400,152400,151200,150000,148200,146400,144600,142800,141000,139200,137400,144600,144000,143400,142800,142200,142800,142200,141600,141000,140400,139800,143400,142800,142200,141600,141000,140400,139800,139200,138600,138000,137400,136800,136200,141000,140400,145800,145200,144600,142200,141600,141000,138600,138000,137400,136800,136200,135600,135000,134400,133800,133200,132600,132000,131400,130800,130200,129600,132600,132000,131400,130800,130200,129600,129000,128400,127800,127200,126600,126000,125400,124800,124200,128400,127800,126600,125400,124200,123000,121800,120600,119400,118200,117000,117000,115800,114600,112200,111000,110400,109800,109200,118200,127200,136200,145200,154200
0,1800,1200,0,0,3000,1200,0,0,3000,1200,0,0,3000,5400,4800,3600,3600,2400,600,0,0,3000,1200,10200,19200,28200,37200,46200,55200,64200,73200,82200,91200,100200,109200,118200,127200,136200,145200,154200,151200,148200,145200,145800,142800,139800,136800,133800,132000,129000,127200,124200,121200,118200,115200,112200,109200,106200,103200,101400,98400,95400,92400,89400,86400,83400,80400,77400,75600,73800,72000,76200,75600,79800,78000,76200,74400,72600,70800,69000,67200,65400,64200,62400,60600,58800,57000,54000,52200,49200,46200,44400,41400,43200,45000,42000,39000,37200,35400,33600,31800,31200,30600,30000,29400,28800,30000,29400,32400,31800,31200,30600,30000,29400,28800,28200,27600,27000,26400,25800,25200,24600,24000,23400,22800,22200,21600,21000,20400,19800,19200,18600,18000,17400,16800,19800,22800,25800,28800,37800,46800,55800,64800
0,1200,2400,1800,3000,5400,4800,6000,7200,6600,7800,9000,8400,9600,10800,10200,11400,12600,12000,17400,18600,18000,19200,20400,24000,23400,24600,33600,42600,51600,60600,69600,78600,87600,96600,105600,114600,123600,132600,141600,150600,147600,144600,141600,138600,143400,140400,148200,145200,142200,139200,136200,133200,130200,127200,124200,130800,127800,127200,124200,121200,118200,115200,112200,109200,106200,103200,100200,97200,96600,93600,90600,87600,84600,81600,78600,85200,82200,79200,85800,82800,79800,86400,83400,80400,86400,83400,80400,78600,85200,82200,79200,85800,82800,79800,81600,78600,80400,77400,75000,72000,69000,66000,63000,60000,57000,54000,51000,48000,45000,42000,39000,42600,39600,43200,40200,37200,40800,37800,37800,41400,48600,45600,42600,46800,43800,40800,49800,46800,43800,40800,37800,41400,38400,42000,39000,42600,49800,46800,55800,64800,73800,82800,91800
3600,1800,0,0,1200,0,0,3600,3000,6600,10200,13800,17400,21000,24600,28200,31800,35400,36600,37800,39000,40200,37200,38400,39600,40800,49800,58800,67800,76800,85800,94800,103800,112800,121800,130800,139800,148800,157800,166800,175800,172800,169800,166800,163800,160800,157800,154800,151800,148800,145800,142800,139800,136800,133800,130800,127800,124800,121800,118800,115800,112800,109800,106800,103800,100800,97800,94800,91800,88800,85800,82800,79800,76800,73800,70800,77400,74400,71400,68400,65400,62400,59400,56400,53400,50400,47400,44400,41400,38400,40200,45600,42600,39600,43200,40200,37200,40800,37800,41400,38400,42000,43800,40800,37800,41400,42600,39600,43200,40200,37200,40800,38400,42000,39600,43200,40800,38400,42000,39600,43200,40800,38400,42000,39600,43200,40800,38400,36600,34800,33000,33000,31200,28800,27000,24600,22200,19800,17400,26400,35400,44400,53400,62400
0,1200,2400,1800,3000,4200,3600,4800,6000,5400,6600,7800,7200,8400,9600,9000,10200,11400,10800,12000,13200,12600,19200,20400,19800,21000,22200,31200,40200,49200,58200,67200,76200,85200,94200,103200,112200,121200,130200,139200,148200,145200,142200,139200,136200,133200,130200,127200,124200,121200,124800,121800,123000,124200,125400,126600,127800,129000,130200,127800,125400,123000,127200,124800,122400,120000,117600,115200,112800,110400,107400,105000,102600,100200,97200,94200,94200,91200,88200,85200,82200,79200,76200,73200,70200,67200,64200,61200,58200,55200,52200,49200,46200,43200,40200,37200,36600,36000,35400,34800,34200,33600,33000,32400,31800,29400,28800,26400,25200,22800,20400,18000,15600,13200,12000,9600,7200,4800,2400,0,3600,1200,0,3600,1800,0,3600,1200,0,3600,1800,0,3600,1200,0,3600,1200,10200,19200,28200,37200,46200,55200,64200
0,1200,600,0,1200,600,0,1200,0,1200,0,0,1200,0,0,1200,0,0,1200,2400,1800,3000,3600,4200,6000,9600,18600,27600,36600,45600,54600,63600,72600,81600,90600,99600,108600,117600,126600,135600,144600,141600,138600,135600,132600,129600,126600,123600,121200,118200,115200,112800,110400,108000,111000,108600,106200,103800,101400,99000,96600,94200,91800,89400,87000,84600,82200,79800,81600,79200,81000,78600,80400,78000,79800,81600,79200,78000,76800,78600,77400,76200,75000,73800,72600,71400,70200,69000,67800,66600,65400,64200,63000,61800,59400,58200,55800,53400,51000,48600,46200,43800,51000,48600,46200,43800,41400,39000,36000,37200,34200,31200,28200,25200,22200,19200,16200,13200,10200,7200,4200,1200,0,3600,600,0,3600,600,0,3600,600,0,4800,1800,0,3600,600,9600,18600,27600,36600,45600,54600,63600
