t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
1800,7200,16200,24600,26400,29400,28800,27000,25800,29400,31800,28800,34200,42600,44400,49200,53400,52800,54600,53400,54000,52800,57600,66000,63000,67200,70200,79200,88200,97200,106200,115200,124200,133200,142200,151200,160200,169200,178200,187200,196200,204600,208800,210600,219000,218400,227400,233400,238800,240600,244800,253800,258600,259800,268800,271800,273600,282600,282000,284400,290400,289800,289800,288600,288600,294600,300000,297000,295800,296400,298200,305400,303600,310800,311400,320400,327000,330000,334800,340200,346200,348600,356400,358800,363000,372000,373800,378600,385800,384600,391200,388200,395400,394800,402600,411000,414600,421800,430200,434400,435600,441600,449400,447600,450000,452400,459000,463800,466200,475200,481200,483600,487800,489600,489600,487200,489600,497400,502200,505200,510600,512400,517800,517800,525000,526200,530400,532800,537000,541800,545400,552600,561000,567600,568800,572400,571800,577800,580800,589200,595200,603000,605400,607200
4800,7800,4800,1800,0,4800,1800,6600,7800,7200,6000,13800,10800,8400,12000,11400,10800,10200,19200,18600,18600,20400,25200,26400,25800,34800,43800,52800,61800,70800,79800,88800,97800,106800,115800,124800,133800,142800,151800,160800,169800,167400,169800,177600,181200,186600,190800,189600,187200,187800,193800,197400,195000,192600,195600,193200,190800,188400,186000,191400,191400,189000,193800,192000,190200,198000,200400,198000,203400,203400,202800,205800,203400,212400,215400,216000,213600,219000,216600,217200,217800,222600,231000,229200,232200,232200,229800,235200,244200,241800,240000,237600,235200,232800,240600,238200,235800,243600,241200,243000,240600,243600,241200,238800,244800,246000,243600,248400,248400,246600,248400,246000,243600,246000,250800,252600,250200,247800,245400,243000,240600,241800,247200,255000,260400,268200,270600,276000,280800,284400,289200,294600,300000,301800,307200,305400,309600,310200,315600,313800,322200,327600,333000,331800
0,0,0,3000,0,0,0,0,7800,4800,4200,1200,0,0,0,0,0,9000,6000,4200,1200,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,172200,177600,175200,172800,170400,169800,176400,174600,172800,171000,168600,166800,167400,165600,163800,169200,167400,167400,175200,173400,171600,169800,169200,167400,169800,168000,166200,164400,162600,171600,169800,167400,165600,163800,161400,159600,157800,156600,154800,153000,157200,155400,157800,160200,157200,155400,161400,159600,157200,155400,153600,161400,159600,157800,156000,157200,154200,151200,150000,150600,156000,165000,165600,166200,165600,166200,166800,167400,173400,174000,174600,175200,175800,179400,180000,180600,181200,181800,182400,183000,183600,180600,189000,189600,190200,190800,191400,192000,192600,193200,193800,192000,191400,192000,192600,200400,201000,199800,198600,197400,196200,205200,214200
0,0,0,0,0,0,0,0,0,0,5400,2400,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000,108000,117000,126000,135000,144000,153000,162000,171000,180000,179400,185400,187800,190200,192600,195000,202200,204600,212400,211200,210000,208800,207600,206400,205200,204000,203400,202200,201000,198600,205800,203400,205200,202800,202200,201600,201000,200400,202200,207000,205800,205200,212400,211800,211200,220200,219600,219000,218400,217800,217800,217200,224400,223800,223200,222600,222000,221400,220800,220200,217800,215400,213000,212400,211800,211200,210600,210000,209400,207000,204600,202200,199800,197400,195000,192600,190200,194400,191400,189000,186600,189600,190800,189000,190200,191400,193200,194400,195600,196800,198000,199200,200400,201600,202800,204000,201600,208800,210000,211200,208800,206400,215400,213000,210600,208200,205800,214200,217800,226800,235800,244800,253800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,4800,6000,3000,600,0,0,6600,15600,24600,33600,42600,51600,60600,69600,78600,87600,96600,105600,114600,123600,132600,141600,150600,159600,168600,177600,178800,180000,181200,182400,181200,180000,178800,177600,176400,175200,174000,172800,171600,170400,169200,174600,173400,172200,171000,169800,168600,167400,166200,165000,163800,162600,161400,160200,159000,157800,156600,155400,154200,153000,151800,159000,157800,156600,155400,154200,153000,151800,150600,149400,148200,147000,145800,144600,141600,138600,145200,142200,139200,136200,133200,130200,127200,130200,127200,124200,121200,118200,125400,131400,128400,125400,122400,119400,116400,113400,112800,109800,106800,104400,113400,110400,107400,104400,101400,98400,95400,92400,89400,86400,83400,80400,77400,75000,81600,78600,76200,82800,79800,88200,85200,82200,91200,100200,109200,118200,127200,136200,145200
600,0,600,0,600,0,600,0,600,6600,3600,600,0,600,0,600,1200,1800,0,600,1200,1800,2400,11400,20400,29400,38400,47400,56400,65400,74400,83400,92400,101400,110400,119400,128400,137400,146400,155400,164400,161400,158400,155400,152400,149400,146400,143400,140400,137400,134400,131400,128400,126000,123600,121200,121200,118800,115800,112800,109800,106800,103800,100800,97800,95400,93000,90600,88200,85800,83400,81000,78600,79800,77400,76200,73800,71400,69000,68400,66000,65400,63000,60600,58200,55800,53400,52200,49800,47400,46200,45000,42600,41400,41400,40200,37800,38400,36000,36000,33600,33000,31800,32400,30000,28800,27600,26400,25200,24000,22800,27000,27600,24600,23400,20400,21600,20400,19200,16200,15000,12000,15000,12000,9600,6600,4200,1200,0,600,0,600,0,600,4800,1800,0,9000,18000,27000,36000,45000,54000,63000
600,1200,6600,7200,7800,8400,9000,9600,6600,3600,4200,1200,0,600,0,600,1200,0,600,1200,1800,2400,3000,12000,21000,30000,39000,48000,57000,66000,75000,84000,93000,102000,111000,120000,129000,138000,147000,156000,165000,162000,162600,159600,156600,153600,150600,147600,144600,141600,138600,135600,132600,129600,126600,123600,120600,117600,114600,111600,108600,108600,105600,102600,99600,96600,93600,90600,87600,84600,81600,78600,79200,76200,73200,70200,67200,64200,61200,58200,55200,52200,49200,46200,43200,40200,37200,34200,31200,28200,25200,22200,19200,16200,13200,13800,10800,7800,4800,7200,4200,4800,2400,3000,600,1200,0,6000,3600,4200,4800,2400,3000,600,1200,0,600,0,600,0,600,5400,2400,3000,12000,12600,9600,10200,10800,11400,12000,15600,16200,16800,17400,18000,18600,19200,19800,20400,29400,38400,47400,56400
600,0,600,1200,0,600,1200,1800,0,600,0,600,0,600,0,600,0,600,1200,4200,4800,5400,6000,15000,24000,33000,42000,51000,60000,69000,78000,87000,96000,105000,114000,123000,132000,141000,150000,159000,168000,165000,162000,159000,156000,153000,150000,147000,144000,141000,138000,137400,134400,131400,128400,125400,122400,119400,116400,116400,113400,110400,107400,104400,101400,98400,95400,92400,89400,86400,83400,80400,77400,76800,76200,75600,75000,74400,73800,73200,72600,72000,71400,70800,70200,69600,69000,75000,74400,73800,73200,72600,70800,70200,67200,66600,63600,60600,57600,54600,51600,48600,46800,43800,43200,40200,37200,36600,33600,33000,30000,30600,27600,28200,25200,25800,22800,19800,16800,13800,10800,11400,8400,9000,6000,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,20400,29400,38400,47400,56400,65400,74400
600,0,600,0,600,0,600,0,0,600,600,0,0,600,0,600,0,600,0,600,0,600,9600,18600,27600,36600,45600,54600,63600,72600,81600,90600,99600,108600,117600,126600,135600,144600,153600,162600,171600,168600,165600,162600,159600,156600,153600,150600,147600,144600,141600,144000,146400,148800,151200,153600,156000,158400,160800,163200,165600,168000,170400,172800,175200,172200,169200,166200,163200,160200,157200,164400,161400,158400,162600,159600,156600,153600,150600,147600,144600,141600,138600,135600,132600,129600,126600,123600,120600,117600,114600,111600,108600,105600,102600,99600,96600,93600,90600,87600,84600,81600,78600,76200,73800,71400,68400,65400,62400,67800,64800,61800,58800,55800,52800,49800,46800,43800,52200,49200,46200,43200,52200,49200,46200,43200,40200,37200,37800,38400,39000,39600,40200,37200,37800,38400,39000,48000,57000,66000,75000,84000,93000,102000
600,600,1200,1200,1800,1800,2400,2400,3000,3000,3600,4200,4800,4800,5400,5400,6000,13800,14400,14400,15000,15000,15600,18000,18600,27600,36600,45600,54600,63600,72600,81600,90600,99600,108600,117600,126600,135600,144600,153600,162600,159600,156600,153600,150600,147600,144600,141600,138600,135600,132600,129600,126600,134400,131400,128400,125400,122400,119400,116400,113400,110400,107400,104400,101400,98400,95400,92400,89400,86400,83400,80400,77400,74400,73200,70200,67200,64200,61200,58200,55200,52200,49200,46200,43200,40200,37200,34200,31200,28200,25200,22200,19200,16200,13200,19800,16800,13800,10800,7800,4800,1800,0,600,1200,7200,7800,8400,9000,9600,6600,7200,4200,4800,10200,10800,7800,4800,1800,0,0,0,0,0,600,0,600,0,600,600,1200,1200,1800,2400,0,600,0,600,0,9000,18000,27000,36000,45000
