t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
0,7800,4800,9600,18600,16800,16200,14400,22800,25800,33600,40200,40200,46200,49800,56400,60600,66600,66600,72000,73200,76800,82200,91200,94800,100200,97800,102600,101400,99000,101400,104400,101400,109800,112800,111600,113400,116400,125400,127800,135600,134400,139200,142800,143400,144600,150600,150000,151800,149400,156600,154200,162000,161400,168000,174600,182400,190200,187200,193800,198000,203400,207600,210600,209400,209400,213600,220200,220800,223800,230400,232200,238200,242400,250200,251400,250200,253200,253200,252600,253800,257400,255600,263400,262200,266400,268800,276000,276600,275400,279600,277800,280800,282000,282000,289800,292200,296400,298200,297600,303000,311400,312000,312000,313200,319800,318000,316800,318000,322800,325800,325200,328800,328200,325800,322800,325800,333600,339000,345600,349800,358200,358800,355800,363000,367200,366000,368400,370800,375000,378600,382800,384600,384000,385200,387600,394800,395400,393000,400800,402600,408600,414600,420600
0,7800,5400,3000,600,9000,12000,9600,7200,15000,20400,18000,16200,19200,16800,14400,12000,15600,21600,21600,19200,27600,36000,41400,40200,41400,44400,42600,50400,52200,54000,55800,56400,59400,56400,55200,58800,55800,57000,66000,75000,76800,76200,81000,85800,91800,98400,99000,102000,109200,108600,111000,116400,113400,120000,121800,125400,129000,135000,135000,133800,136800,134400,138000,145800,146400,143400,149400,158400,157200,159000,167400,171000,174600,174000,172800,172800,175800,184200,189600,187200,193800,197400,194400,192600,196200,196800,200400,204000,202200,202200,210000,214200,217800,214800,218400,222000,225600,223200,230400,237600,238200,241800,245400,246600,243600,247800,255600,256200,264600,261600,258600,262200,265200,263400,267000,270600,274200,277800,277200,274200,277800,281400,285000,283200,289200,286800,290400,288000,285000,282000,286200,283200,288600,292800,292200,294600,300600,300000,299400,307200,304200,301200,298200
0,0,0,0,0,9000,6600,10200,17400,15000,12600,20400,23400,21000,21600,19200,16200,13800,11400,9000,17400,19200,16800,14400,12000,9600,7200,4800,7800,5400,2400,0,0,0,7800,7800,16800,25800,34800,43800,52800,56400,56400,56400,56400,56400,60600,65400,65400,73200,73800,78600,76800,75600,74400,83400,82200,79800,77400,81000,79200,84600,83400,82200,81000,79800,77400,74400,71400,68400,65400,62400,59400,56400,65400,68400,65400,69000,66000,63000,60000,57000,54000,51000,51600,48600,45600,46800,43800,48600,45600,43800,50400,53400,56400,59400,56400,54000,51000,57600,54600,58200,56400,53400,51000,48000,45000,43200,46800,43800,40800,43800,51000,48000,45000,43800,40800,37800,35400,33000,33000,42000,44400,43800,40800,46800,45000,43200,41400,45600,46200,49800,49200,47400,45600,43800,42000,40200,38400,36600,34800,33000,31200,34200
0,0,0,0,600,0,600,0,600,0,4200,1800,0,600,0,0,600,0,3000,600,6000,3600,1200,0,600,0,0,600,0,600,0,600,0,600,0,9000,18000,27000,36000,45000,54000,63000,61800,60000,58200,56400,54600,52800,51000,49800,48000,49800,48600,51600,50400,48000,45600,43200,40800,41400,42000,45000,45600,43200,43800,40800,37800,36600,36600,45000,49800,46800,47400,44400,41400,46800,43800,40800,37800,37800,37800,37800,37800,37200,37200,36600,36600,36600,36600,36600,36600,43200,43800,42600,46800,49800,46800,43800,42000,39000,39000,39000,39000,39000,43200,40200,37200,37200,37200,37200,37200,37200,35400,33600,31800,30000,28200,26400,24600,22800,21000,19200,17400,15600,13800,12000,10200,18000,21600,26400,24600,22800,21000,19200,17400,15600,13800,12000,12000,10200,7800,5400,9000,7200
7200,4200,1200,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,1800,0,600,1200,1800,0,600,9600,10200,10800,7800,8400,17400,26400,35400,44400,53400,62400,71400,68400,65400,62400,59400,56400,53400,50400,47400,44400,41400,38400,35400,37800,35400,33000,33600,31200,28800,26400,24000,21600,19200,16800,14400,12000,9600,7200,12600,10200,7800,9600,7200,4800,2400,0,600,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,3000,600,0,600,0,600,8400,5400,2400,0,600,0,600,0,600,0,600,1200,1800,3000,3600,4200,4800,7200,7800,8400,9000,10800,11400,12000,12600,13200,13800,14400,21000,21600,22200,22800,23400,24000,24600,25200,25800,26400,27000,27600,28200,36600,44400,41400,38400
600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,13800,14400,23400,32400,41400,50400,59400,68400,65400,62400,59400,56400,53400,50400,47400,44400,41400,38400,35400,32400,29400,26400,24600,22800,30000,28200,26400,24600,22800,21000,19200,17400,15600,13800,12000,9000,7200,5400,8400,6600,4800,3000,1200,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,6600,4800,3000,1200,0,600,600,0,600,0,600,0,600,5400,3600,1800,0,600,6000,11400,11400,11400,11400,11400,11400,11400,11400,19800,20400,20400,23400,24000,27000,30000,28800,27600,26400,25200,24000,22800,23400,22200,22800,21600,24600,23400,24000,22800,23400,23400
600,600,0,0,0,0,0,0,0,0,0,0,2400,2400,1800,1200,1200,600,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,9000,18000,27000,36000,45000,45000,42000,39000,36000,33000,30000,27000,24000,21000,18000,15000,12000,9000,9600,9600,8400,7800,7200,6600,6600,6000,5400,5400,4800,4200,4200,3600,3000,3000,2400,1800,1800,1200,600,1200,600,0,0,0,0,0,0,0,6600,6000,5400,5400,4800,5400,5400,4800,4200,4200,3600,3000,7800,7200,6600,6600,6000,5400,5400,4800,4200,4200,3600,3000,3000,2400,1800,1800,1200,600,600,6000,5400,5400,4800,4200,4200,4800,4200,3600,3000,2400,1800,1800,1200,600,600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,600,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,600,9600,18600,27600,36600,45600,45600,42600,39600,36600,33600,30600,27600,24600,21600,18600,15600,12600,9600,10200,10800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,17400,18000,17400,16800,16200,15600,15600,15000,14400,14400,13800,13200,13200,12600,12000,12000,11400,10800,11400,8400,9000,9000,8400,7800,16800,17400,16800,16200,15600,16800,19200,18600,18600,18000,17400,17400,16800,16200,16200,15600,15000,15000,14400,13800,13800,13200,13800,13200,12600,12000,11400,10800,10200,10200,9600,9000,9000,8400,7800,7800,7200,6600,6600,6000,5400,5400,6000,9600,9000,8400,8400,7800,8400,7800,7800
0,0,0,0,0,0,0,4800,4200,4800,4200,3600,3000,2400,5400,4800,1800,1200,0,0,0,0,600,0,0,0,600,0,0,0,0,0,0,0,0,0,600,9600,18600,27600,36600,37200,34200,31200,31800,28800,25800,22800,19800,16800,13800,10800,7800,4800,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,13800,14400,13800,14400,13800,14400,14400,13800,13200,13200,12600,12000,12000,11400,10800,10800,10200,9600,9600,9000,8400,8400,7800,8400,7800,7800,8400,7800,7200,6600,6000,5400,2400,1800,0,0,0,5400,6000,6000,5400,4800,1800,1200,0,0,0,0,0,0,0,0,600,0,0,3600,3000,3000,2400,1800,0,0,2400,1800,0,0,0,0,0,0,0,0,0,0,0,0,0
0,600,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,600,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,9600,18600,27600,36600,39000,41400,41400,45000,50400,47400,44400,41400,38400,35400,34800,31800,28800,25800,26400,24600,21600,18600,18000,26400,25800,22800,19800,18600,22200,21600,21600,22200,21600,26400,25800,24600,24000,23400,22800,23400,22800,22200,21600,18600,18000,15000,14400,11400,10800,7800,7200,4200,3600,600,2400,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,4200,3600,600,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,7800,4800,4200,3600,3000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,1800,0,0,0,600,0,0,0,600,600,4200,1200,4800,4200,1800,1800,0,9000,18000,27000,36000,45000,45000,45000,46800,43800,40800,37800,34800,31800,28800,25800,22800,19800,16800,14400,15600,16800,16800,18000,18000,19200,19200,20400,20400,18000,17400,15000,15600,13200,14400,12000,12000,13200,13800,13800,15000,15600,15600,16800,16200,17400,18000,18000,18000,17400,16800,16200,15600,12600,12000,9000,8400,8400,8400,8400,5400,5400,2400,8400,5400,5400,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,1200,2400,2400,6600,6600,3600,3600,600,600,0,0,0,0,0,0,0,0,0,0,0
